"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 00:00 - 01/01/2024 00:15","Germany (DE)","40592.55","40733.10"
"01/01/2024 00:15 - 01/01/2024 00:30","Germany (DE)","40301.09","39804.79"
"01/01/2024 00:30 - 01/01/2024 00:45","Germany (DE)","40171.71","39033.81"
"01/01/2024 00:45 - 01/01/2024 01:00","Germany (DE)","39615.01","38523.13"
"01/01/2024 01:00 - 01/01/2024 01:15","Germany (DE)","39336.85","38247.31"
"01/01/2024 01:15 - 01/01/2024 01:30","Germany (DE)","38991.10","37860.82"
"01/01/2024 01:30 - 01/01/2024 01:45","Germany (DE)","38615.81","37554.30"
"01/01/2024 01:45 - 01/01/2024 02:00","Germany (DE)","38328.84","36990.92"
"01/01/2024 02:00 - 01/01/2024 02:15","Germany (DE)","38408.00","36733.44"
"01/01/2024 02:15 - 01/01/2024 02:30","Germany (DE)","38034.74","36528.78"
"01/01/2024 02:30 - 01/01/2024 02:45","Germany (DE)","37661.80","36655.56"
"01/01/2024 02:45 - 01/01/2024 03:00","Germany (DE)","37285.72","36691.05"
"01/01/2024 03:00 - 01/01/2024 03:15","Germany (DE)","37307.90","36770.00"
"01/01/2024 03:15 - 01/01/2024 03:30","Germany (DE)","37113.31","36450.34"
"01/01/2024 03:30 - 01/01/2024 03:45","Germany (DE)","37040.60","36120.81"
"01/01/2024 03:45 - 01/01/2024 04:00","Germany (DE)","37031.12","36364.31"
"01/01/2024 04:00 - 01/01/2024 04:15","Germany (DE)","36984.56","36237.18"
"01/01/2024 04:15 - 01/01/2024 04:30","Germany (DE)","36618.88","36282.44"
"01/01/2024 04:30 - 01/01/2024 04:45","Germany (DE)","36612.78","36581.71"
"01/01/2024 04:45 - 01/01/2024 05:00","Germany (DE)","36797.84","36606.56"
"01/01/2024 05:00 - 01/01/2024 05:15","Germany (DE)","37366.92","36658.87"
"01/01/2024 05:15 - 01/01/2024 05:30","Germany (DE)","37147.22","36944.17"
