"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2017 00:00 - 01/01/2017 00:15","Germany (DE)","47372.60","40241.08"
"01/01/2017 00:15 - 01/01/2017 00:30","Germany (DE)","47195.53","39804.57"
"01/01/2017 00:30 - 01/01/2017 00:45","Germany (DE)","47155.91","39022.80"
"01/01/2017 00:45 - 01/01/2017 01:00","Germany (DE)","46804.79","38682.22"
"01/01/2017 01:00 - 01/01/2017 01:15","Germany (DE)","46550.81","38162.33"
"01/01/2017 01:15 - 01/01/2017 01:30","Germany (DE)","46029.82","37743.99"
"01/01/2017 01:30 - 01/01/2017 01:45","Germany (DE)","45587.29","37603.97"
"01/01/2017 01:45 - 01/01/2017 02:00","Germany (DE)","45277.32","37228.61"
"01/01/2017 02:00 - 01/01/2017 02:15","Germany (DE)","44950.43","36989.39"
"01/01/2017 02:15 - 01/01/2017 02:30","Germany (DE)","44699.32","37036.05"
"01/01/2017 02:30 - 01/01/2017 02:45","Germany (DE)","44293.67","36874.03"
"01/01/2017 02:45 - 01/01/2017 03:00","Germany (DE)","43928.73","36464.80"
"01/01/2017 03:00 - 01/01/2017 03:15","Germany (DE)","43548.61","36507.32"
"01/01/2017 03:15 - 01/01/2017 03:30","Germany (DE)","43302.26","36697.67"
"01/01/2017 03:30 - 01/01/2017 03:45","Germany (DE)","43215.93","36745.93"
"01/01/2017 03:45 - 01/01/2017 04:00","Germany (DE)","43021.25","36758.22"
"01/01/2017 04:00 - 01/01/2017 04:15","Germany (DE)","42906.45","36884.17"
"01/01/2017 04:15 - 01/01/2017 04:30","Germany (DE)","42563.51","36896.53"
"01/01/2017 04:30 - 01/01/2017 04:45","Germany (DE)","42381.12","36481.93"
"01/01/2017 04:45 - 01/01/2017 05:00","Germany (DE)","42093.59","36761.00"
"01/01/2017 05:00 - 01/01/2017 05:15","Germany (DE)","41812.40","36963.58"
"01/01/2017 05:15 - 01/01/2017 05:30","Germany (DE)","41498.34","36308.24"
"01/01/2017 05:30 - 01/01/2017 05:45","Germany (DE)","41030.38","36217.56"
"01/01/2017 05:45 - 01/01/2017 06:00","Germany (DE)","40826.63","35578.55"
"01/01/2017 06:00 - 01/01/2017 06:15","Germany (DE)","39974.84","35256.31"
"01/01/2017 06:15 - 01/01/2017 06:30","Germany (DE)","39911.35","34851.43"
"01/01/2017 06:30 - 01/01/2017 06:45","Germany (DE)","39947.00","34967.11"
"01/01/2017 06:45 - 01/01/2017 07:00","Germany (DE)","40046.78","34374.16"
"01/01/2017 07:00 - 01/01/2017 07:15","Germany (DE)","40160.17","36200.14"
"01/01/2017 07:15 - 01/01/2017 07:30","Germany (DE)","40217.38","36747.10"
"01/01/2017 07:30 - 01/01/2017 07:45","Germany (DE)","40349.62","36678.55"
"01/01/2017 07:45 - 01/01/2017 08:00","Germany (DE)","40584.58","37327.42"
"01/01/2017 08:00 - 01/01/2017 08:15","Germany (DE)","41012.19","39011.01"
"01/01/2017 08:15 - 01/01/2017 08:30","Germany (DE)","41115.05","39681.97"
"01/01/2017 08:30 - 01/01/2017 08:45","Germany (DE)","41354.73","39768.62"
"01/01/2017 08:45 - 01/01/2017 09:00","Germany (DE)","41851.78","40746.98"
"01/01/2017 09:00 - 01/01/2017 09:15","Germany (DE)","42885.55","42092.28"
"01/01/2017 09:15 - 01/01/2017 09:30","Germany (DE)","43558.43","42766.36"
"01/01/2017 09:30 - 01/01/2017 09:45","Germany (DE)","44178.15","43445.75"
"01/01/2017 09:45 - 01/01/2017 10:00","Germany (DE)","44685.87","44192.84"
"01/01/2017 10:00 - 01/01/2017 10:15","Germany (DE)","45391.85","44480.67"
"01/01/2017 10:15 - 01/01/2017 10:30","Germany (DE)","46060.65","46215.59"
"01/01/2017 10:30 - 01/01/2017 10:45","Germany (DE)","46573.09","46125.60"
"01/01/2017 10:45 - 01/01/2017 11:00","Germany (DE)","47286.45","47307.61"
"01/01/2017 11:00 - 01/01/2017 11:15","Germany (DE)","48026.95","47437.51"
"01/01/2017 11:15 - 01/01/2017 11:30","Germany (DE)","48686.18","48092.80"
"01/01/2017 11:30 - 01/01/2017 11:45","Germany (DE)","49227.44","48638.87"
"01/01/2017 11:45 - 01/01/2017 12:00","Germany (DE)","49477.12","49133.11"
"01/01/2017 12:00 - 01/01/2017 12:15","Germany (DE)","49850.32","48968.38"
"01/01/2017 12:15 - 01/01/2017 12:30","Germany (DE)","49776.69","48864.82"
"01/01/2017 12:30 - 01/01/2017 12:45","Germany (DE)","49703.00","48465.91"
"01/01/2017 12:45 - 01/01/2017 13:00","Germany (DE)","49447.78","47846.29"
"01/01/2017 13:00 - 01/01/2017 13:15","Germany (DE)","49141.91","47403.01"
"01/01/2017 13:15 - 01/01/2017 13:30","Germany (DE)","48741.82","47121.78"
"01/01/2017 13:30 - 01/01/2017 13:45","Germany (DE)","48512.48","46534.98"
"01/01/2017 13:45 - 01/01/2017 14:00","Germany (DE)","48138.10","46272.36"
"01/01/2017 14:00 - 01/01/2017 14:15","Germany (DE)","48021.98","45964.95"
"01/01/2017 14:15 - 01/01/2017 14:30","Germany (DE)","47886.88","45422.90"
"01/01/2017 14:30 - 01/01/2017 14:45","Germany (DE)","47641.54","46889.81"
"01/01/2017 14:45 - 01/01/2017 15:00","Germany (DE)","47419.27","45206.03"
"01/01/2017 15:00 - 01/01/2017 15:15","Germany (DE)","47938.22","46105.14"
"01/01/2017 15:15 - 01/01/2017 15:30","Germany (DE)","47954.31","45644.83"
"01/01/2017 15:30 - 01/01/2017 15:45","Germany (DE)","48155.76","45496.43"
"01/01/2017 15:45 - 01/01/2017 16:00","Germany (DE)","48306.43","46407.94"
"01/01/2017 16:00 - 01/01/2017 16:15","Germany (DE)","49194.45","46548.26"
"01/01/2017 16:15 - 01/01/2017 16:30","Germany (DE)","49730.82","47300.98"
