"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2016 00:00 - 01/01/2016 00:15","Germany (DE)","44295.13","40575.15"
"01/01/2016 00:15 - 01/01/2016 00:30","Germany (DE)","44002.89","40599.09"
"01/01/2016 00:30 - 01/01/2016 00:45","Germany (DE)","43759.24","39943.09"
"01/01/2016 00:45 - 01/01/2016 01:00","Germany (DE)","43461.01","39397.95"
"01/01/2016 01:00 - 01/01/2016 01:15","Germany (DE)","42786.35","38896.14"
"01/01/2016 01:15 - 01/01/2016 01:30","Germany (DE)","42235.48","38212.45"
"01/01/2016 01:30 - 01/01/2016 01:45","Germany (DE)","41829.71","37950.25"
"01/01/2016 01:45 - 01/01/2016 02:00","Germany (DE)","41600.31","37591.88"
"01/01/2016 02:00 - 01/01/2016 02:15","Germany (DE)","40926.30","37214.03"
"01/01/2016 02:15 - 01/01/2016 02:30","Germany (DE)","40616.12","36773.13"
"01/01/2016 02:30 - 01/01/2016 02:45","Germany (DE)","40252.83","36574.34"
"01/01/2016 02:45 - 01/01/2016 03:00","Germany (DE)","39854.74","36515.40"
"01/01/2016 03:00 - 01/01/2016 03:15","Germany (DE)","39805.11","36583.53"
"01/01/2016 03:15 - 01/01/2016 03:30","Germany (DE)","39462.06","36488.11"
"01/01/2016 03:30 - 01/01/2016 03:45","Germany (DE)","39302.32","36422.74"
"01/01/2016 03:45 - 01/01/2016 04:00","Germany (DE)","39144.07","36314.80"
"01/01/2016 04:00 - 01/01/2016 04:15","Germany (DE)","39195.52","36385.71"
"01/01/2016 04:15 - 01/01/2016 04:30","Germany (DE)","39058.04","36676.12"
"01/01/2016 04:30 - 01/01/2016 04:45","Germany (DE)","38925.26","36544.70"
"01/01/2016 04:45 - 01/01/2016 05:00","Germany (DE)","38861.27","36704.45"
"01/01/2016 05:00 - 01/01/2016 05:15","Germany (DE)","38793.22","37068.68"
"01/01/2016 05:15 - 01/01/2016 05:30","Germany (DE)","38414.62","37127.63"
"01/01/2016 05:30 - 01/01/2016 05:45","Germany (DE)","38189.15","37203.72"
"01/01/2016 05:45 - 01/01/2016 06:00","Germany (DE)","37701.56","37291.40"
"01/01/2016 06:00 - 01/01/2016 06:15","Germany (DE)","37260.83","37751.18"
"01/01/2016 06:15 - 01/01/2016 06:30","Germany (DE)","36937.79","38389.82"
"01/01/2016 06:30 - 01/01/2016 06:45","Germany (DE)","37000.93","39110.97"
"01/01/2016 06:45 - 01/01/2016 07:00","Germany (DE)","37049.79","39327.67"
"01/01/2016 07:00 - 01/01/2016 07:15","Germany (DE)","37129.15","40319.15"
"01/01/2016 07:15 - 01/01/2016 07:30","Germany (DE)","37223.99","41005.47"
"01/01/2016 07:30 - 01/01/2016 07:45","Germany (DE)","37397.01","42184.12"
"01/01/2016 07:45 - 01/01/2016 08:00","Germany (DE)","37601.95","42236.33"
"01/01/2016 08:00 - 01/01/2016 08:15","Germany (DE)","37872.65","43186.17"
"01/01/2016 08:15 - 01/01/2016 08:30","Germany (DE)","37860.58","43400.41"
"01/01/2016 08:30 - 01/01/2016 08:45","Germany (DE)","38200.69","43614.01"
"01/01/2016 08:45 - 01/01/2016 09:00","Germany (DE)","38540.87","44048.83"
"01/01/2016 09:00 - 01/01/2016 09:15","Germany (DE)","39438.50","44509.33"
"01/01/2016 09:15 - 01/01/2016 09:30","Germany (DE)","39974.48","45323.93"
"01/01/2016 09:30 - 01/01/2016 09:45","Germany (DE)","40526.12","45609.34"
"01/01/2016 09:45 - 01/01/2016 10:00","Germany (DE)","41059.45","46212.47"
"01/01/2016 10:00 - 01/01/2016 10:15","Germany (DE)","41699.33","46453.46"
"01/01/2016 10:15 - 01/01/2016 10:30","Germany (DE)","42324.17","47466.95"
"01/01/2016 10:30 - 01/01/2016 10:45","Germany (DE)","43096.66","47806.77"
"01/01/2016 10:45 - 01/01/2016 11:00","Germany (DE)","43959.72","48141.33"
"01/01/2016 11:00 - 01/01/2016 11:15","Germany (DE)","44660.07","48863.50"
"01/01/2016 11:15 - 01/01/2016 11:30","Germany (DE)","45374.66","49586.31"
"01/01/2016 11:30 - 01/01/2016 11:45","Germany (DE)","45941.23","50187.89"
"01/01/2016 11:45 - 01/01/2016 12:00","Germany (DE)","46235.07","50304.31"
"01/01/2016 12:00 - 01/01/2016 12:15","Germany (DE)","46417.89","50180.56"
