"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2018 00:00 - 01/01/2018 00:15","Germany (DE)","45951.83","42236.83"
"01/01/2018 00:15 - 01/01/2018 00:30","Germany (DE)","45442.28","41455.62"
"01/01/2018 00:30 - 01/01/2018 00:45","Germany (DE)","45076.73","41009.29"
"01/01/2018 00:45 - 01/01/2018 01:00","Germany (DE)","44897.27","40521.35"
"01/01/2018 01:00 - 01/01/2018 01:15","Germany (DE)","44615.66","40034.43"
"01/01/2018 01:15 - 01/01/2018 01:30","Germany (DE)","44468.85","39615.28"
"01/01/2018 01:30 - 01/01/2018 01:45","Germany (DE)","43946.58","39221.08"
"01/01/2018 01:45 - 01/01/2018 02:00","Germany (DE)","43683.17","38966.48"
"01/01/2018 02:00 - 01/01/2018 02:15","Germany (DE)","43314.78","38600.38"
"01/01/2018 02:15 - 01/01/2018 02:30","Germany (DE)","43046.62","38486.32"
"01/01/2018 02:30 - 01/01/2018 02:45","Germany (DE)","43186.02","38365.57"
"01/01/2018 02:45 - 01/01/2018 03:00","Germany (DE)","42746.85","38294.77"
"01/01/2018 03:00 - 01/01/2018 03:15","Germany (DE)","42648.88","38203.51"
"01/01/2018 03:15 - 01/01/2018 03:30","Germany (DE)","42450.41","38230.72"
"01/01/2018 03:30 - 01/01/2018 03:45","Germany (DE)","42252.59","38272.63"
"01/01/2018 03:45 - 01/01/2018 04:00","Germany (DE)","42216.70","38334.71"
"01/01/2018 04:00 - 01/01/2018 04:15","Germany (DE)","42424.42","38475.27"
"01/01/2018 04:15 - 01/01/2018 04:30","Germany (DE)","42318.13","38573.66"
"01/01/2018 04:30 - 01/01/2018 04:45","Germany (DE)","42391.72","38629.32"
"01/01/2018 04:45 - 01/01/2018 05:00","Germany (DE)","42348.09","38570.17"
"01/01/2018 05:00 - 01/01/2018 05:15","Germany (DE)","42519.02","38910.53"
"01/01/2018 05:15 - 01/01/2018 05:30","Germany (DE)","42240.68","38706.95"
"01/01/2018 05:30 - 01/01/2018 05:45","Germany (DE)","42061.83","38689.98"
"01/01/2018 05:45 - 01/01/2018 06:00","Germany (DE)","41717.23","38366.23"
"01/01/2018 06:00 - 01/01/2018 06:15","Germany (DE)","41133.29","37602.92"
"01/01/2018 06:15 - 01/01/2018 06:30","Germany (DE)","40971.23","37870.49"
"01/01/2018 06:30 - 01/01/2018 06:45","Germany (DE)","41014.22","37823.90"
"01/01/2018 06:45 - 01/01/2018 07:00","Germany (DE)","41190.15","38082.47"
"01/01/2018 07:00 - 01/01/2018 07:15","Germany (DE)","41351.82","38433.97"
"01/01/2018 07:15 - 01/01/2018 07:30","Germany (DE)","41469.79","38869.37"
"01/01/2018 07:30 - 01/01/2018 07:45","Germany (DE)","41753.16","39620.38"
"01/01/2018 07:45 - 01/01/2018 08:00","Germany (DE)","42053.98","40698.27"
