"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2021 00:00 - 01/01/2021 00:15","Germany (DE)","44973.37","43567.47"
"01/01/2021 00:15 - 01/01/2021 00:30","Germany (DE)","44762.26","43371.36"
"01/01/2021 00:30 - 01/01/2021 00:45","Germany (DE)","44418.71","42883.87"
"01/01/2021 00:45 - 01/01/2021 01:00","Germany (DE)","44123.45","42802.64"
"01/01/2021 01:00 - 01/01/2021 01:15","Germany (DE)","43497.26","42095.77"
"01/01/2021 01:15 - 01/01/2021 01:30","Germany (DE)","42984.02","41824.36"
"01/01/2021 01:30 - 01/01/2021 01:45","Germany (DE)","42472.40","41425.71"
"01/01/2021 01:45 - 01/01/2021 02:00","Germany (DE)","42270.68","41050.70"
"01/01/2021 02:00 - 01/01/2021 02:15","Germany (DE)","41602.98","40780.85"
"01/01/2021 02:15 - 01/01/2021 02:30","Germany (DE)","41206.21","40702.61"
"01/01/2021 02:30 - 01/01/2021 02:45","Germany (DE)","40857.94","40419.55"
"01/01/2021 02:45 - 01/01/2021 03:00","Germany (DE)","40531.80","40149.68"
"01/01/2021 03:00 - 01/01/2021 03:15","Germany (DE)","40372.39","40235.26"
"01/01/2021 03:15 - 01/01/2021 03:30","Germany (DE)","40288.81","40297.18"
"01/01/2021 03:30 - 01/01/2021 03:45","Germany (DE)","40210.31","40093.26"
"01/01/2021 03:45 - 01/01/2021 04:00","Germany (DE)","40064.24","39967.16"
"01/01/2021 04:00 - 01/01/2021 04:15","Germany (DE)","40333.42","40011.02"
"01/01/2021 04:15 - 01/01/2021 04:30","Germany (DE)","40269.77","39860.86"
"01/01/2021 04:30 - 01/01/2021 04:45","Germany (DE)","40238.30","39765.47"
"01/01/2021 04:45 - 01/01/2021 05:00","Germany (DE)","40001.16","39749.95"
"01/01/2021 05:00 - 01/01/2021 05:15","Germany (DE)","39891.63","39670.83"
"01/01/2021 05:15 - 01/01/2021 05:30","Germany (DE)","39475.84","39325.84"
"01/01/2021 05:30 - 01/01/2021 05:45","Germany (DE)","39450.69","39109.76"
"01/01/2021 05:45 - 01/01/2021 06:00","Germany (DE)","39501.73","38660.23"
"01/01/2021 06:00 - 01/01/2021 06:15","Germany (DE)","39054.07","38218.25"
"01/01/2021 06:15 - 01/01/2021 06:30","Germany (DE)","38932.49","38021.16"
"01/01/2021 06:30 - 01/01/2021 06:45","Germany (DE)","38880.18","38114.31"
"01/01/2021 06:45 - 01/01/2021 07:00","Germany (DE)","38970.51","37731.64"
"01/01/2021 07:00 - 01/01/2021 07:15","Germany (DE)","39154.15","38052.31"
"01/01/2021 07:15 - 01/01/2021 07:30","Germany (DE)","39326.66","38127.17"
"01/01/2021 07:30 - 01/01/2021 07:45","Germany (DE)","39631.35","38498.72"
"01/01/2021 07:45 - 01/01/2021 08:00","Germany (DE)","39791.01","38781.13"
