"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2015 00:00 - 01/01/2015 00:15","Germany (DE)","45274.24","42954.95"
"01/01/2015 00:15 - 01/01/2015 00:30","Germany (DE)","44869.96","42412.03"
"01/01/2015 00:30 - 01/01/2015 00:45","Germany (DE)","44964.18","41901.07"
"01/01/2015 00:45 - 01/01/2015 01:00","Germany (DE)","44894.15","41354.93"
"01/01/2015 01:00 - 01/01/2015 01:15","Germany (DE)","44441.69","40710.38"
"01/01/2015 01:15 - 01/01/2015 01:30","Germany (DE)","44056.60","40204.18"
"01/01/2015 01:30 - 01/01/2015 01:45","Germany (DE)","43634.56","39640.26"
"01/01/2015 01:45 - 01/01/2015 02:00","Germany (DE)","43199.42","39323.88"
"01/01/2015 02:00 - 01/01/2015 02:15","Germany (DE)","42969.71","39002.42"
"01/01/2015 02:15 - 01/01/2015 02:30","Germany (DE)","42542.65","38869.21"
"01/01/2015 02:30 - 01/01/2015 02:45","Germany (DE)","42102.40","38783.18"
"01/01/2015 02:45 - 01/01/2015 03:00","Germany (DE)","41673.69","38598.24"
"01/01/2015 03:00 - 01/01/2015 03:15","Germany (DE)","41383.54","38626.08"
"01/01/2015 03:15 - 01/01/2015 03:30","Germany (DE)","41058.56","38458.85"
"01/01/2015 03:30 - 01/01/2015 03:45","Germany (DE)","40824.26","38413.62"
"01/01/2015 03:45 - 01/01/2015 04:00","Germany (DE)","40597.18","38461.11"
"01/01/2015 04:00 - 01/01/2015 04:15","Germany (DE)","40493.17","38558.59"
"01/01/2015 04:15 - 01/01/2015 04:30","Germany (DE)","40201.04","38489.67"
"01/01/2015 04:30 - 01/01/2015 04:45","Germany (DE)","40267.71","38713.04"
"01/01/2015 04:45 - 01/01/2015 05:00","Germany (DE)","40172.41","38812.97"
"01/01/2015 05:00 - 01/01/2015 05:15","Germany (DE)","40123.99","38876.23"
"01/01/2015 05:15 - 01/01/2015 05:30","Germany (DE)","39822.06","38827.57"
"01/01/2015 05:30 - 01/01/2015 05:45","Germany (DE)","39522.81","38807.18"
"01/01/2015 05:45 - 01/01/2015 06:00","Germany (DE)","39017.70","38582.36"
"01/01/2015 06:00 - 01/01/2015 06:15","Germany (DE)","38236.54","37455.74"
"01/01/2015 06:15 - 01/01/2015 06:30","Germany (DE)","38125.16","36617.61"
"01/01/2015 06:30 - 01/01/2015 06:45","Germany (DE)","38245.34","37169.79"
"01/01/2015 06:45 - 01/01/2015 07:00","Germany (DE)","38174.01","37746.18"
"01/01/2015 07:00 - 01/01/2015 07:15","Germany (DE)","38317.20","39110.86"
"01/01/2015 07:15 - 01/01/2015 07:30","Germany (DE)","38329.12","40431.52"
"01/01/2015 07:30 - 01/01/2015 07:45","Germany (DE)","38566.40","40745.16"
"01/01/2015 07:45 - 01/01/2015 08:00","Germany (DE)","38741.39","41198.00"
"01/01/2015 08:00 - 01/01/2015 08:15","Germany (DE)","38895.58","42046.59"
"01/01/2015 08:15 - 01/01/2015 08:30","Germany (DE)","38931.42","42497.11"
"01/01/2015 08:30 - 01/01/2015 08:45","Germany (DE)","39195.54","42458.48"
"01/01/2015 08:45 - 01/01/2015 09:00","Germany (DE)","39754.25","43085.68"
"01/01/2015 09:00 - 01/01/2015 09:15","Germany (DE)","40639.09","44127.67"
"01/01/2015 09:15 - 01/01/2015 09:30","Germany (DE)","41377.86","44906.50"
"01/01/2015 09:30 - 01/01/2015 09:45","Germany (DE)","42147.03","45320.58"
"01/01/2015 09:45 - 01/01/2015 10:00","Germany (DE)","42971.12","45725.57"
"01/01/2015 10:00 - 01/01/2015 10:15","Germany (DE)","43555.87","46159.55"
"01/01/2015 10:15 - 01/01/2015 10:30","Germany (DE)","44240.28","46744.90"
"01/01/2015 10:30 - 01/01/2015 10:45","Germany (DE)","44993.41","47555.38"
"01/01/2015 10:45 - 01/01/2015 11:00","Germany (DE)","45713.41","47944.33"
"01/01/2015 11:00 - 01/01/2015 11:15","Germany (DE)","46733.01","48865.12"
"01/01/2015 11:15 - 01/01/2015 11:30","Germany (DE)","47284.43","49382.31"
"01/01/2015 11:30 - 01/01/2015 11:45","Germany (DE)","47871.35","50032.59"
"01/01/2015 11:45 - 01/01/2015 12:00","Germany (DE)","48460.38","50132.65"
"01/01/2015 12:00 - 01/01/2015 12:15","Germany (DE)","48650.05","50178.22"
"01/01/2015 12:15 - 01/01/2015 12:30","Germany (DE)","48989.54","50230.66"
"01/01/2015 12:30 - 01/01/2015 12:45","Germany (DE)","49062.50","50149.80"
"01/01/2015 12:45 - 01/01/2015 13:00","Germany (DE)","48735.34","49080.46"
"01/01/2015 13:00 - 01/01/2015 13:15","Germany (DE)","48374.06","47601.86"
"01/01/2015 13:15 - 01/01/2015 13:30","Germany (DE)","47947.60","47263.22"
"01/01/2015 13:30 - 01/01/2015 13:45","Germany (DE)","47875.05","47799.73"
"01/01/2015 13:45 - 01/01/2015 14:00","Germany (DE)","47683.17","47447.08"
"01/01/2015 14:00 - 01/01/2015 14:15","Germany (DE)","47582.82","46619.12"
"01/01/2015 14:15 - 01/01/2015 14:30","Germany (DE)","47282.46","46983.25"
"01/01/2015 14:30 - 01/01/2015 14:45","Germany (DE)","47208.51","47635.37"
"01/01/2015 14:45 - 01/01/2015 15:00","Germany (DE)","46820.26","47149.30"
"01/01/2015 15:00 - 01/01/2015 15:15","Germany (DE)","47038.25","47423.45"
"01/01/2015 15:15 - 01/01/2015 15:30","Germany (DE)","47147.36","47435.91"
"01/01/2015 15:30 - 01/01/2015 15:45","Germany (DE)","47122.82","47270.48"
"01/01/2015 15:45 - 01/01/2015 16:00","Germany (DE)","47478.55","47402.97"
"01/01/2015 16:00 - 01/01/2015 16:15","Germany (DE)","47739.57","47838.48"
"01/01/2015 16:15 - 01/01/2015 16:30","Germany (DE)","48680.85","48181.14"
"01/01/2015 16:30 - 01/01/2015 16:45","Germany (DE)","50155.55","49233.64"
"01/01/2015 16:45 - 01/01/2015 17:00","Germany (DE)","51653.02","50490.39"
"01/01/2015 17:00 - 01/01/2015 17:15","Germany (DE)","53071.97","51307.11"
"01/01/2015 17:15 - 01/01/2015 17:30","Germany (DE)","53923.13","52148.71"
"01/01/2015 17:30 - 01/01/2015 17:45","Germany (DE)","54532.69","52752.59"
"01/01/2015 17:45 - 01/01/2015 18:00","Germany (DE)","54665.61","52943.20"
"01/01/2015 18:00 - 01/01/2015 18:15","Germany (DE)","54870.56","53375.33"
"01/01/2015 18:15 - 01/01/2015 18:30","Germany (DE)","54840.98","53496.13"
"01/01/2015 18:30 - 01/01/2015 18:45","Germany (DE)","54760.86","53421.09"
"01/01/2015 18:45 - 01/01/2015 19:00","Germany (DE)","54469.12","53176.76"
"01/01/2015 19:00 - 01/01/2015 19:15","Germany (DE)","54441.29","53186.31"
"01/01/2015 19:15 - 01/01/2015 19:30","Germany (DE)","54377.26","52873.33"
"01/01/2015 19:30 - 01/01/2015 19:45","Germany (DE)","53953.68","52480.89"
"01/01/2015 19:45 - 01/01/2015 20:00","Germany (DE)","53497.44","51855.44"
"01/01/2015 20:00 - 01/01/2015 20:15","Germany (DE)","53085.15","51270.67"
"01/01/2015 20:15 - 01/01/2015 20:30","Germany (DE)","52281.19","50361.25"
"01/01/2015 20:30 - 01/01/2015 20:45","Germany (DE)","51251.15","49513.26"
"01/01/2015 20:45 - 01/01/2015 21:00","Germany (DE)","50660.87","48936.19"
"01/01/2015 21:00 - 01/01/2015 21:15","Germany (DE)","50755.54","48941.37"
"01/01/2015 21:15 - 01/01/2015 21:30","Germany (DE)","50612.59","48728.02"
"01/01/2015 21:30 - 01/01/2015 21:45","Germany (DE)","50301.84","47371.77"
"01/01/2015 21:45 - 01/01/2015 22:00","Germany (DE)","50620.43","47344.07"
"01/01/2015 22:00 - 01/01/2015 22:15","Germany (DE)","51565.79","48078.85"
"01/01/2015 22:15 - 01/01/2015 22:30","Germany (DE)","50878.21","47771.04"
"01/01/2015 22:30 - 01/01/2015 22:45","Germany (DE)","50331.08","48079.59"
"01/01/2015 22:45 - 01/01/2015 23:00","Germany (DE)","49426.03","47283.95"
"01/01/2015 23:00 - 01/01/2015 23:15","Germany (DE)","49023.64","46676.62"
"01/01/2015 23:15 - 01/01/2015 23:30","Germany (DE)","48197.12","46067.16"
"01/01/2015 23:30 - 01/01/2015 23:45","Germany (DE)","47376.13","44099.62"
"01/01/2015 23:45 - 02/01/2015 00:00","Germany (DE)","46770.37","42660.10"
"02/01/2015 00:00 - 02/01/2015 00:15","Germany (DE)","45387.27","41215.29"
"02/01/2015 00:15 - 02/01/2015 00:30","Germany (DE)","45620.87","39054.79"
"02/01/2015 00:30 - 02/01/2015 00:45","Germany (DE)","44394.51","40238.27"
"02/01/2015 00:45 - 02/01/2015 01:00","Germany (DE)","43846.50","39804.64"
"02/01/2015 01:00 - 02/01/2015 01:15","Germany (DE)","43634.04","39256.89"
"02/01/2015 01:15 - 02/01/2015 01:30","Germany (DE)","43061.97","38803.07"
"02/01/2015 01:30 - 02/01/2015 01:45","Germany (DE)","42739.57","38516.80"
"02/01/2015 01:45 - 02/01/2015 02:00","Germany (DE)","42510.05","38268.99"
"02/01/2015 02:00 - 02/01/2015 02:15","Germany (DE)","42378.64","37881.97"
"02/01/2015 02:15 - 02/01/2015 02:30","Germany (DE)","42159.23","37817.42"
"02/01/2015 02:30 - 02/01/2015 02:45","Germany (DE)","42012.21","37831.34"
"02/01/2015 02:45 - 02/01/2015 03:00","Germany (DE)","41956.82","37748.98"
"02/01/2015 03:00 - 02/01/2015 03:15","Germany (DE)","42015.08","37876.64"
"02/01/2015 03:15 - 02/01/2015 03:30","Germany (DE)","42069.47","37793.85"
"02/01/2015 03:30 - 02/01/2015 03:45","Germany (DE)","42185.52","37735.43"
"02/01/2015 03:45 - 02/01/2015 04:00","Germany (DE)","42140.74","37907.03"
"02/01/2015 04:00 - 02/01/2015 04:15","Germany (DE)","42558.14","38537.25"
"02/01/2015 04:15 - 02/01/2015 04:30","Germany (DE)","42617.88","38678.67"
"02/01/2015 04:30 - 02/01/2015 04:45","Germany (DE)","42960.17","38990.35"
"02/01/2015 04:45 - 02/01/2015 05:00","Germany (DE)","43169.75","39492.69"
