"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2019 00:00 - 01/01/2019 00:15","Germany (DE)","44008.80","43769.09"
"01/01/2019 00:15 - 01/01/2019 00:30","Germany (DE)","43461.53","43572.21"
"01/01/2019 00:30 - 01/01/2019 00:45","Germany (DE)","42934.87","43024.65"
"01/01/2019 00:45 - 01/01/2019 01:00","Germany (DE)","42688.81","42486.60"
"01/01/2019 01:00 - 01/01/2019 01:15","Germany (DE)","42383.34","41978.07"
"01/01/2019 01:15 - 01/01/2019 01:30","Germany (DE)","41880.38","41480.75"
"01/01/2019 01:30 - 01/01/2019 01:45","Germany (DE)","41410.45","40955.63"
"01/01/2019 01:45 - 01/01/2019 02:00","Germany (DE)","40851.83","40687.54"
"01/01/2019 02:00 - 01/01/2019 02:15","Germany (DE)","40567.76","40384.15"
"01/01/2019 02:15 - 01/01/2019 02:30","Germany (DE)","40180.69","40155.80"
"01/01/2019 02:30 - 01/01/2019 02:45","Germany (DE)","39910.71","40122.48"
"01/01/2019 02:45 - 01/01/2019 03:00","Germany (DE)","39679.68","40088.39"
"01/01/2019 03:00 - 01/01/2019 03:15","Germany (DE)","39549.99","39911.45"
"01/01/2019 03:15 - 01/01/2019 03:30","Germany (DE)","39206.18","39866.02"
"01/01/2019 03:30 - 01/01/2019 03:45","Germany (DE)","39178.20","39936.23"
"01/01/2019 03:45 - 01/01/2019 04:00","Germany (DE)","39144.87","39922.84"
"01/01/2019 04:00 - 01/01/2019 04:15","Germany (DE)","39140.72","40077.12"
"01/01/2019 04:15 - 01/01/2019 04:30","Germany (DE)","39075.89","40235.08"
"01/01/2019 04:30 - 01/01/2019 04:45","Germany (DE)","39034.07","40328.92"
"01/01/2019 04:45 - 01/01/2019 05:00","Germany (DE)","38880.33","40390.58"
"01/01/2019 05:00 - 01/01/2019 05:15","Germany (DE)","38897.35","40666.01"
"01/01/2019 05:15 - 01/01/2019 05:30","Germany (DE)","38616.86","40500.14"
"01/01/2019 05:30 - 01/01/2019 05:45","Germany (DE)","38540.62","40555.77"
"01/01/2019 05:45 - 01/01/2019 06:00","Germany (DE)","38227.27","40473.90"
"01/01/2019 06:00 - 01/01/2019 06:15","Germany (DE)","37879.90","40005.87"
"01/01/2019 06:15 - 01/01/2019 06:30","Germany (DE)","37894.79","40323.58"
"01/01/2019 06:30 - 01/01/2019 06:45","Germany (DE)","38060.25","40564.11"
