"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2020 00:00 - 01/01/2020 00:15","Germany (DE)","43881.80","46215.06"
"01/01/2020 00:15 - 01/01/2020 00:30","Germany (DE)","43639.59","45703.29"
"01/01/2020 00:30 - 01/01/2020 00:45","Germany (DE)","43330.90","45226.30"
"01/01/2020 00:45 - 01/01/2020 01:00","Germany (DE)","43149.49","44741.97"
"01/01/2020 01:00 - 01/01/2020 01:15","Germany (DE)","43017.27","43914.92"
"01/01/2020 01:15 - 01/01/2020 01:30","Germany (DE)","42806.44","43769.75"
"01/01/2020 01:30 - 01/01/2020 01:45","Germany (DE)","42428.80","43266.61"
"01/01/2020 01:45 - 01/01/2020 02:00","Germany (DE)","42142.55","42934.13"
"01/01/2020 02:00 - 01/01/2020 02:15","Germany (DE)","41966.30","42717.57"
"01/01/2020 02:15 - 01/01/2020 02:30","Germany (DE)","41659.46","42578.25"
"01/01/2020 02:30 - 01/01/2020 02:45","Germany (DE)","41244.73","42492.33"
"01/01/2020 02:45 - 01/01/2020 03:00","Germany (DE)","40985.47","42433.75"
"01/01/2020 03:00 - 01/01/2020 03:15","Germany (DE)","40702.48","42453.54"
"01/01/2020 03:15 - 01/01/2020 03:30","Germany (DE)","40376.87","42516.48"
"01/01/2020 03:30 - 01/01/2020 03:45","Germany (DE)","40125.68","42435.17"
"01/01/2020 03:45 - 01/01/2020 04:00","Germany (DE)","39913.44","42387.60"
"01/01/2020 04:00 - 01/01/2020 04:15","Germany (DE)","40375.76","42479.35"
"01/01/2020 04:15 - 01/01/2020 04:30","Germany (DE)","40253.89","42587.10"
"01/01/2020 04:30 - 01/01/2020 04:45","Germany (DE)","40261.33","42568.46"
"01/01/2020 04:45 - 01/01/2020 05:00","Germany (DE)","40167.60","42637.46"
"01/01/2020 05:00 - 01/01/2020 05:15","Germany (DE)","40289.81","42652.56"
"01/01/2020 05:15 - 01/01/2020 05:30","Germany (DE)","40012.62","42371.86"
"01/01/2020 05:30 - 01/01/2020 05:45","Germany (DE)","40013.14","42076.08"
"01/01/2020 05:45 - 01/01/2020 06:00","Germany (DE)","39754.66","41734.61"
"01/01/2020 06:00 - 01/01/2020 06:15","Germany (DE)","39031.66","40789.54"
"01/01/2020 06:15 - 01/01/2020 06:30","Germany (DE)","38901.93","40615.03"
"01/01/2020 06:30 - 01/01/2020 06:45","Germany (DE)","38859.11","40601.33"
"01/01/2020 06:45 - 01/01/2020 07:00","Germany (DE)","39044.09","40694.92"
"01/01/2020 07:00 - 01/01/2020 07:15","Germany (DE)","39268.70","40950.43"
"01/01/2020 07:15 - 01/01/2020 07:30","Germany (DE)","39533.85","41349.09"
"01/01/2020 07:30 - 01/01/2020 07:45","Germany (DE)","39500.12","42266.32"
"01/01/2020 07:45 - 01/01/2020 08:00","Germany (DE)","39553.60","43116.84"
"01/01/2020 08:00 - 01/01/2020 08:15","Germany (DE)","39802.17","43840.12"
"01/01/2020 08:15 - 01/01/2020 08:30","Germany (DE)","40004.58","44493.25"
"01/01/2020 08:30 - 01/01/2020 08:45","Germany (DE)","40159.63","44739.89"
"01/01/2020 08:45 - 01/01/2020 09:00","Germany (DE)","40743.52","45108.57"
"01/01/2020 09:00 - 01/01/2020 09:15","Germany (DE)","41425.98","46413.30"
"01/01/2020 09:15 - 01/01/2020 09:30","Germany (DE)","42015.58","47333.19"
"01/01/2020 09:30 - 01/01/2020 09:45","Germany (DE)","42568.15","47783.76"
"01/01/2020 09:45 - 01/01/2020 10:00","Germany (DE)","43486.03","47898.11"
"01/01/2020 10:00 - 01/01/2020 10:15","Germany (DE)","43892.78","48639.45"
"01/01/2020 10:15 - 01/01/2020 10:30","Germany (DE)","44276.28","49129.91"
"01/01/2020 10:30 - 01/01/2020 10:45","Germany (DE)","44771.39","49422.22"
"01/01/2020 10:45 - 01/01/2020 11:00","Germany (DE)","45271.52","49864.46"
"01/01/2020 11:00 - 01/01/2020 11:15","Germany (DE)","46003.58","50423.28"
"01/01/2020 11:15 - 01/01/2020 11:30","Germany (DE)","46545.02","50850.85"
"01/01/2020 11:30 - 01/01/2020 11:45","Germany (DE)","46947.11","51380.15"
"01/01/2020 11:45 - 01/01/2020 12:00","Germany (DE)","47153.25","51582.26"
"01/01/2020 12:00 - 01/01/2020 12:15","Germany (DE)","47838.40","51473.23"
"01/01/2020 12:15 - 01/01/2020 12:30","Germany (DE)","48104.56","51149.87"
"01/01/2020 12:30 - 01/01/2020 12:45","Germany (DE)","48076.97","50889.74"
"01/01/2020 12:45 - 01/01/2020 13:00","Germany (DE)","47936.36","50716.35"
"01/01/2020 13:00 - 01/01/2020 13:15","Germany (DE)","47967.95","50301.87"
"01/01/2020 13:15 - 01/01/2020 13:30","Germany (DE)","47773.76","49798.37"
"01/01/2020 13:30 - 01/01/2020 13:45","Germany (DE)","47701.30","49522.58"
"01/01/2020 13:45 - 01/01/2020 14:00","Germany (DE)","47450.04","49097.62"
"01/01/2020 14:00 - 01/01/2020 14:15","Germany (DE)","46649.78","48945.82"
"01/01/2020 14:15 - 01/01/2020 14:30","Germany (DE)","46302.03","48780.80"
"01/01/2020 14:30 - 01/01/2020 14:45","Germany (DE)","45801.87","48504.27"
"01/01/2020 14:45 - 01/01/2020 15:00","Germany (DE)","45778.72","48479.15"
"01/01/2020 15:00 - 01/01/2020 15:15","Germany (DE)","46164.61","48854.48"
"01/01/2020 15:15 - 01/01/2020 15:30","Germany (DE)","46074.47","48535.64"
"01/01/2020 15:30 - 01/01/2020 15:45","Germany (DE)","46254.35","48732.90"
"01/01/2020 15:45 - 01/01/2020 16:00","Germany (DE)","46607.69","48700.18"
"01/01/2020 16:00 - 01/01/2020 16:15","Germany (DE)","47337.16","49127.19"
"01/01/2020 16:15 - 01/01/2020 16:30","Germany (DE)","48190.42","49297.19"
"01/01/2020 16:30 - 01/01/2020 16:45","Germany (DE)","49651.85","50083.71"
"01/01/2020 16:45 - 01/01/2020 17:00","Germany (DE)","51099.50","50883.85"
"01/01/2020 17:00 - 01/01/2020 17:15","Germany (DE)","52360.58","52158.81"
"01/01/2020 17:15 - 01/01/2020 17:30","Germany (DE)","52832.21","52809.26"
"01/01/2020 17:30 - 01/01/2020 17:45","Germany (DE)","53339.20","53306.31"
"01/01/2020 17:45 - 01/01/2020 18:00","Germany (DE)","53658.70","53766.78"
"01/01/2020 18:00 - 01/01/2020 18:15","Germany (DE)","54077.16","54286.33"
"01/01/2020 18:15 - 01/01/2020 18:30","Germany (DE)","53901.58","54622.07"
"01/01/2020 18:30 - 01/01/2020 18:45","Germany (DE)","53983.37","54394.59"
"01/01/2020 18:45 - 01/01/2020 19:00","Germany (DE)","53529.52","54294.88"
"01/01/2020 19:00 - 01/01/2020 19:15","Germany (DE)","53447.80","54429.41"
"01/01/2020 19:15 - 01/01/2020 19:30","Germany (DE)","52767.75","53968.86"
"01/01/2020 19:30 - 01/01/2020 19:45","Germany (DE)","52457.95","53733.29"
"01/01/2020 19:45 - 01/01/2020 20:00","Germany (DE)","51868.99","53439.10"
"01/01/2020 20:00 - 01/01/2020 20:15","Germany (DE)","51415.33","52970.70"
"01/01/2020 20:15 - 01/01/2020 20:30","Germany (DE)","50858.93","52392.38"
"01/01/2020 20:30 - 01/01/2020 20:45","Germany (DE)","50166.65","51997.81"
"01/01/2020 20:45 - 01/01/2020 21:00","Germany (DE)","49627.14","51563.98"
"01/01/2020 21:00 - 01/01/2020 21:15","Germany (DE)","49452.61","51306.40"
"01/01/2020 21:15 - 01/01/2020 21:30","Germany (DE)","49135.55","50966.95"
"01/01/2020 21:30 - 01/01/2020 21:45","Germany (DE)","49143.56","50677.97"
"01/01/2020 21:45 - 01/01/2020 22:00","Germany (DE)","48749.39","50635.16"
"01/01/2020 22:00 - 01/01/2020 22:15","Germany (DE)","49167.14","51098.13"
"01/01/2020 22:15 - 01/01/2020 22:30","Germany (DE)","48638.52","50668.66"
"01/01/2020 22:30 - 01/01/2020 22:45","Germany (DE)","47900.66","49986.93"
"01/01/2020 22:45 - 01/01/2020 23:00","Germany (DE)","47112.80","49388.63"
"01/01/2020 23:00 - 01/01/2020 23:15","Germany (DE)","46369.62","48567.84"
"01/01/2020 23:15 - 01/01/2020 23:30","Germany (DE)","45829.75","48003.45"
"01/01/2020 23:30 - 01/01/2020 23:45","Germany (DE)","45047.47","47252.38"
"01/01/2020 23:45 - 02/01/2020 00:00","Germany (DE)","44396.11","46544.87"
"02/01/2020 00:00 - 02/01/2020 00:15","Germany (DE)","44350.34","46903.78"
"02/01/2020 00:15 - 02/01/2020 00:30","Germany (DE)","44180.83","46027.84"
"02/01/2020 00:30 - 02/01/2020 00:45","Germany (DE)","43966.51","45636.63"
"02/01/2020 00:45 - 02/01/2020 01:00","Germany (DE)","43388.76","45269.92"
"02/01/2020 01:00 - 02/01/2020 01:15","Germany (DE)","42915.00","44748.49"
"02/01/2020 01:15 - 02/01/2020 01:30","Germany (DE)","42602.31","44538.63"
"02/01/2020 01:30 - 02/01/2020 01:45","Germany (DE)","42331.84","44257.35"
"02/01/2020 01:45 - 02/01/2020 02:00","Germany (DE)","42299.23","43938.00"
"02/01/2020 02:00 - 02/01/2020 02:15","Germany (DE)","42099.66","43876.96"
"02/01/2020 02:15 - 02/01/2020 02:30","Germany (DE)","41858.53","44049.23"
"02/01/2020 02:30 - 02/01/2020 02:45","Germany (DE)","41884.15","44086.70"
"02/01/2020 02:45 - 02/01/2020 03:00","Germany (DE)","41834.15","44052.09"
"02/01/2020 03:00 - 02/01/2020 03:15","Germany (DE)","42041.72","44178.65"
"02/01/2020 03:15 - 02/01/2020 03:30","Germany (DE)","41744.29","44169.40"
"02/01/2020 03:30 - 02/01/2020 03:45","Germany (DE)","41923.78","44324.02"
"02/01/2020 03:45 - 02/01/2020 04:00","Germany (DE)","42164.25","44548.18"
"02/01/2020 04:00 - 02/01/2020 04:15","Germany (DE)","42540.79","44793.05"
"02/01/2020 04:15 - 02/01/2020 04:30","Germany (DE)","42738.53","45079.77"
"02/01/2020 04:30 - 02/01/2020 04:45","Germany (DE)","43286.31","45374.19"
"02/01/2020 04:45 - 02/01/2020 05:00","Germany (DE)","43705.73","46056.85"
"02/01/2020 05:00 - 02/01/2020 05:15","Germany (DE)","44566.79","47066.98"
"02/01/2020 05:15 - 02/01/2020 05:30","Germany (DE)","44892.39","47618.45"
"02/01/2020 05:30 - 02/01/2020 05:45","Germany (DE)","45771.49","48698.44"
"02/01/2020 05:45 - 02/01/2020 06:00","Germany (DE)","46351.77","50021.96"
"02/01/2020 06:00 - 02/01/2020 06:15","Germany (DE)","47832.34","52522.15"
"02/01/2020 06:15 - 02/01/2020 06:30","Germany (DE)","49184.22","53809.93"
"02/01/2020 06:30 - 02/01/2020 06:45","Germany (DE)","50397.84","55381.35"
"02/01/2020 06:45 - 02/01/2020 07:00","Germany (DE)","51835.72","56691.34"
"02/01/2020 07:00 - 02/01/2020 07:15","Germany (DE)","53238.97","58289.55"
"02/01/2020 07:15 - 02/01/2020 07:30","Germany (DE)","54331.81","59246.15"
"02/01/2020 07:30 - 02/01/2020 07:45","Germany (DE)","55384.41","59908.66"
"02/01/2020 07:45 - 02/01/2020 08:00","Germany (DE)","56237.78","60631.01"
"02/01/2020 08:00 - 02/01/2020 08:15","Germany (DE)","57466.70","61301.07"
"02/01/2020 08:15 - 02/01/2020 08:30","Germany (DE)","57774.39","61346.85"
"02/01/2020 08:30 - 02/01/2020 08:45","Germany (DE)","58441.22","61813.92"
"02/01/2020 08:45 - 02/01/2020 09:00","Germany (DE)","59046.56","62018.32"
"02/01/2020 09:00 - 02/01/2020 09:15","Germany (DE)","59676.99","61964.84"
"02/01/2020 09:15 - 02/01/2020 09:30","Germany (DE)","60048.63","61987.77"
"02/01/2020 09:30 - 02/01/2020 09:45","Germany (DE)","60314.98","62323.20"
"02/01/2020 09:45 - 02/01/2020 10:00","Germany (DE)","60456.47","62384.66"
"02/01/2020 10:00 - 02/01/2020 10:15","Germany (DE)","60834.24","62590.52"
"02/01/2020 10:15 - 02/01/2020 10:30","Germany (DE)","60857.37","62837.56"
"02/01/2020 10:30 - 02/01/2020 10:45","Germany (DE)","61241.24","62601.72"
"02/01/2020 10:45 - 02/01/2020 11:00","Germany (DE)","61577.67","62656.59"
"02/01/2020 11:00 - 02/01/2020 11:15","Germany (DE)","61610.78","62890.04"
"02/01/2020 11:15 - 02/01/2020 11:30","Germany (DE)","61854.55","62977.41"
"02/01/2020 11:30 - 02/01/2020 11:45","Germany (DE)","62063.76","63091.30"
"02/01/2020 11:45 - 02/01/2020 12:00","Germany (DE)","62259.95","63054.95"
"02/01/2020 12:00 - 02/01/2020 12:15","Germany (DE)","62368.05","62969.60"
"02/01/2020 12:15 - 02/01/2020 12:30","Germany (DE)","62161.52","62737.76"
"02/01/2020 12:30 - 02/01/2020 12:45","Germany (DE)","62224.54","62665.58"
"02/01/2020 12:45 - 02/01/2020 13:00","Germany (DE)","61981.88","62538.47"
"02/01/2020 13:00 - 02/01/2020 13:15","Germany (DE)","61772.38","62342.36"
"02/01/2020 13:15 - 02/01/2020 13:30","Germany (DE)","61576.46","62131.20"
"02/01/2020 13:30 - 02/01/2020 13:45","Germany (DE)","61252.38","62043.85"
"02/01/2020 13:45 - 02/01/2020 14:00","Germany (DE)","60744.39","61538.74"
"02/01/2020 14:00 - 02/01/2020 14:15","Germany (DE)","60563.25","61542.08"
"02/01/2020 14:15 - 02/01/2020 14:30","Germany (DE)","60494.34","61435.79"
"02/01/2020 14:30 - 02/01/2020 14:45","Germany (DE)","60345.33","61252.17"
"02/01/2020 14:45 - 02/01/2020 15:00","Germany (DE)","60089.30","61206.89"
"02/01/2020 15:00 - 02/01/2020 15:15","Germany (DE)","60395.54","61220.99"
"02/01/2020 15:15 - 02/01/2020 15:30","Germany (DE)","60337.77","61110.05"
"02/01/2020 15:30 - 02/01/2020 15:45","Germany (DE)","60432.86","61150.76"
"02/01/2020 15:45 - 02/01/2020 16:00","Germany (DE)","60625.77","60786.31"
"02/01/2020 16:00 - 02/01/2020 16:15","Germany (DE)","61121.70","61102.16"
"02/01/2020 16:15 - 02/01/2020 16:30","Germany (DE)","61746.21","61191.66"
"02/01/2020 16:30 - 02/01/2020 16:45","Germany (DE)","62587.13","61730.71"
"02/01/2020 16:45 - 02/01/2020 17:00","Germany (DE)","63709.29","62475.74"
"02/01/2020 17:00 - 02/01/2020 17:15","Germany (DE)","64738.46","63403.01"
"02/01/2020 17:15 - 02/01/2020 17:30","Germany (DE)","65114.61","63717.79"
"02/01/2020 17:30 - 02/01/2020 17:45","Germany (DE)","65468.09","63920.81"
"02/01/2020 17:45 - 02/01/2020 18:00","Germany (DE)","65619.07","64044.93"
"02/01/2020 18:00 - 02/01/2020 18:15","Germany (DE)","65553.86","63978.85"
"02/01/2020 18:15 - 02/01/2020 18:30","Germany (DE)","65484.53","63759.38"
"02/01/2020 18:30 - 02/01/2020 18:45","Germany (DE)","65305.90","63652.31"
"02/01/2020 18:45 - 02/01/2020 19:00","Germany (DE)","65091.70","63358.74"
"02/01/2020 19:00 - 02/01/2020 19:15","Germany (DE)","64685.18","63188.22"
"02/01/2020 19:15 - 02/01/2020 19:30","Germany (DE)","64211.63","62465.88"
"02/01/2020 19:30 - 02/01/2020 19:45","Germany (DE)","63858.82","62124.32"
"02/01/2020 19:45 - 02/01/2020 20:00","Germany (DE)","63248.27","61676.38"
"02/01/2020 20:00 - 02/01/2020 20:15","Germany (DE)","62050.48","60637.28"
"02/01/2020 20:15 - 02/01/2020 20:30","Germany (DE)","60542.03","59554.48"
"02/01/2020 20:30 - 02/01/2020 20:45","Germany (DE)","59651.30","58847.71"
"02/01/2020 20:45 - 02/01/2020 21:00","Germany (DE)","58862.29","58075.37"
"02/01/2020 21:00 - 02/01/2020 21:15","Germany (DE)","58129.12","57451.55"
"02/01/2020 21:15 - 02/01/2020 21:30","Germany (DE)","57825.61","56770.57"
"02/01/2020 21:30 - 02/01/2020 21:45","Germany (DE)","57101.99","56092.36"
"02/01/2020 21:45 - 02/01/2020 22:00","Germany (DE)","56781.73","55790.24"
"02/01/2020 22:00 - 02/01/2020 22:15","Germany (DE)","56925.02","55437.86"
"02/01/2020 22:15 - 02/01/2020 22:30","Germany (DE)","56155.75","54792.00"
"02/01/2020 22:30 - 02/01/2020 22:45","Germany (DE)","55102.17","53997.87"
"02/01/2020 22:45 - 02/01/2020 23:00","Germany (DE)","54285.48","53199.76"
"02/01/2020 23:00 - 02/01/2020 23:15","Germany (DE)","53423.93","52436.79"
"02/01/2020 23:15 - 02/01/2020 23:30","Germany (DE)","52467.28","51488.69"
"02/01/2020 23:30 - 02/01/2020 23:45","Germany (DE)","51644.42","50711.17"
"02/01/2020 23:45 - 03/01/2020 00:00","Germany (DE)","51032.61","50151.90"
"03/01/2020 00:00 - 03/01/2020 00:15","Germany (DE)","49925.15","50291.40"
"03/01/2020 00:15 - 03/01/2020 00:30","Germany (DE)","49193.82","50034.38"
"03/01/2020 00:30 - 03/01/2020 00:45","Germany (DE)","49081.36","49590.32"
"03/01/2020 00:45 - 03/01/2020 01:00","Germany (DE)","48420.48","49060.21"
"03/01/2020 01:00 - 03/01/2020 01:15","Germany (DE)","48165.18","48488.12"
"03/01/2020 01:15 - 03/01/2020 01:30","Germany (DE)","47712.04","48046.17"
"03/01/2020 01:30 - 03/01/2020 01:45","Germany (DE)","47615.32","47835.62"
"03/01/2020 01:45 - 03/01/2020 02:00","Germany (DE)","47234.16","47487.18"
"03/01/2020 02:00 - 03/01/2020 02:15","Germany (DE)","47322.42","47199.27"
"03/01/2020 02:15 - 03/01/2020 02:30","Germany (DE)","46808.15","47276.54"
"03/01/2020 02:30 - 03/01/2020 02:45","Germany (DE)","46811.95","47037.90"
"03/01/2020 02:45 - 03/01/2020 03:00","Germany (DE)","46692.74","47089.92"
"03/01/2020 03:00 - 03/01/2020 03:15","Germany (DE)","46730.46","47030.94"
"03/01/2020 03:15 - 03/01/2020 03:30","Germany (DE)","46712.80","47213.61"
"03/01/2020 03:30 - 03/01/2020 03:45","Germany (DE)","46787.32","47191.26"
"03/01/2020 03:45 - 03/01/2020 04:00","Germany (DE)","47007.05","47556.17"
"03/01/2020 04:00 - 03/01/2020 04:15","Germany (DE)","47264.35","47521.37"
"03/01/2020 04:15 - 03/01/2020 04:30","Germany (DE)","47491.77","47825.49"
"03/01/2020 04:30 - 03/01/2020 04:45","Germany (DE)","47904.16","47902.35"
"03/01/2020 04:45 - 03/01/2020 05:00","Germany (DE)","48186.67","48513.84"
"03/01/2020 05:00 - 03/01/2020 05:15","Germany (DE)","48969.95","49441.03"
"03/01/2020 05:15 - 03/01/2020 05:30","Germany (DE)","49361.50","49586.57"
"03/01/2020 05:30 - 03/01/2020 05:45","Germany (DE)","50095.64","50461.18"
"03/01/2020 05:45 - 03/01/2020 06:00","Germany (DE)","50859.85","51303.83"
"03/01/2020 06:00 - 03/01/2020 06:15","Germany (DE)","52148.24","53571.50"
"03/01/2020 06:15 - 03/01/2020 06:30","Germany (DE)","53193.71","54706.60"
"03/01/2020 06:30 - 03/01/2020 06:45","Germany (DE)","54221.96","56164.07"
"03/01/2020 06:45 - 03/01/2020 07:00","Germany (DE)","55216.40","57197.88"
"03/01/2020 07:00 - 03/01/2020 07:15","Germany (DE)","56276.97","58940.55"
"03/01/2020 07:15 - 03/01/2020 07:30","Germany (DE)","57226.87","59933.21"
"03/01/2020 07:30 - 03/01/2020 07:45","Germany (DE)","58446.73","62122.56"
"03/01/2020 07:45 - 03/01/2020 08:00","Germany (DE)","59295.81","62928.68"
"03/01/2020 08:00 - 03/01/2020 08:15","Germany (DE)","60147.51","63558.29"
"03/01/2020 08:15 - 03/01/2020 08:30","Germany (DE)","60678.09","63529.99"
"03/01/2020 08:30 - 03/01/2020 08:45","Germany (DE)","61163.81","63918.10"
"03/01/2020 08:45 - 03/01/2020 09:00","Germany (DE)","61441.30","64145.78"
"03/01/2020 09:00 - 03/01/2020 09:15","Germany (DE)","62069.60","63724.26"
"03/01/2020 09:15 - 03/01/2020 09:30","Germany (DE)","62544.22","63903.80"
"03/01/2020 09:30 - 03/01/2020 09:45","Germany (DE)","63066.38","64169.67"
"03/01/2020 09:45 - 03/01/2020 10:00","Germany (DE)","63212.20","64149.99"
"03/01/2020 10:00 - 03/01/2020 10:15","Germany (DE)","63590.90","64319.98"
"03/01/2020 10:15 - 03/01/2020 10:30","Germany (DE)","63739.29","64762.85"
"03/01/2020 10:30 - 03/01/2020 10:45","Germany (DE)","63836.61","64430.45"
"03/01/2020 10:45 - 03/01/2020 11:00","Germany (DE)","64027.31","64373.07"
"03/01/2020 11:00 - 03/01/2020 11:15","Germany (DE)","64707.08","64564.16"
"03/01/2020 11:15 - 03/01/2020 11:30","Germany (DE)","65064.86","64657.85"
"03/01/2020 11:30 - 03/01/2020 11:45","Germany (DE)","65320.40","64762.72"
"03/01/2020 11:45 - 03/01/2020 12:00","Germany (DE)","65361.16","64718.29"
"03/01/2020 12:00 - 03/01/2020 12:15","Germany (DE)","65452.00","64621.03"
"03/01/2020 12:15 - 03/01/2020 12:30","Germany (DE)","65329.34","64192.04"
"03/01/2020 12:30 - 03/01/2020 12:45","Germany (DE)","65102.33","64184.05"
"03/01/2020 12:45 - 03/01/2020 13:00","Germany (DE)","64786.28","63975.46"
"03/01/2020 13:00 - 03/01/2020 13:15","Germany (DE)","64534.12","63647.79"
"03/01/2020 13:15 - 03/01/2020 13:30","Germany (DE)","64033.46","63085.91"
"03/01/2020 13:30 - 03/01/2020 13:45","Germany (DE)","63793.08","62577.72"
"03/01/2020 13:45 - 03/01/2020 14:00","Germany (DE)","62997.35","62051.01"
"03/01/2020 14:00 - 03/01/2020 14:15","Germany (DE)","63287.08","61793.83"
"03/01/2020 14:15 - 03/01/2020 14:30","Germany (DE)","62786.95","61690.29"
"03/01/2020 14:30 - 03/01/2020 14:45","Germany (DE)","62668.81","61551.55"
"03/01/2020 14:45 - 03/01/2020 15:00","Germany (DE)","62513.07","61260.78"
"03/01/2020 15:00 - 03/01/2020 15:15","Germany (DE)","62431.74","61286.91"
"03/01/2020 15:15 - 03/01/2020 15:30","Germany (DE)","62297.46","61092.62"
"03/01/2020 15:30 - 03/01/2020 15:45","Germany (DE)","62327.36","61120.19"
"03/01/2020 15:45 - 03/01/2020 16:00","Germany (DE)","62179.67","60904.42"
"03/01/2020 16:00 - 03/01/2020 16:15","Germany (DE)","62612.09","61116.78"
"03/01/2020 16:15 - 03/01/2020 16:30","Germany (DE)","62587.50","61196.28"
"03/01/2020 16:30 - 03/01/2020 16:45","Germany (DE)","63320.47","62018.55"
"03/01/2020 16:45 - 03/01/2020 17:00","Germany (DE)","64159.91","62628.12"
"03/01/2020 17:00 - 03/01/2020 17:15","Germany (DE)","65004.74","63445.71"
"03/01/2020 17:15 - 03/01/2020 17:30","Germany (DE)","65160.30","63812.29"
"03/01/2020 17:30 - 03/01/2020 17:45","Germany (DE)","65215.11","63865.99"
"03/01/2020 17:45 - 03/01/2020 18:00","Germany (DE)","65272.96","63813.01"
"03/01/2020 18:00 - 03/01/2020 18:15","Germany (DE)","65353.55","63801.89"
"03/01/2020 18:15 - 03/01/2020 18:30","Germany (DE)","64961.87","63804.95"
"03/01/2020 18:30 - 03/01/2020 18:45","Germany (DE)","64810.41","63439.73"
"03/01/2020 18:45 - 03/01/2020 19:00","Germany (DE)","64494.12","63047.89"
"03/01/2020 19:00 - 03/01/2020 19:15","Germany (DE)","63921.05","62888.26"
"03/01/2020 19:15 - 03/01/2020 19:30","Germany (DE)","63411.34","62063.21"
"03/01/2020 19:30 - 03/01/2020 19:45","Germany (DE)","62839.46","61701.10"
"03/01/2020 19:45 - 03/01/2020 20:00","Germany (DE)","61970.44","61408.30"
"03/01/2020 20:00 - 03/01/2020 20:15","Germany (DE)","60648.67","60051.14"
"03/01/2020 20:15 - 03/01/2020 20:30","Germany (DE)","59726.63","58997.48"
"03/01/2020 20:30 - 03/01/2020 20:45","Germany (DE)","58947.46","58227.01"
"03/01/2020 20:45 - 03/01/2020 21:00","Germany (DE)","57984.64","57367.58"
"03/01/2020 21:00 - 03/01/2020 21:15","Germany (DE)","56882.46","56625.40"
"03/01/2020 21:15 - 03/01/2020 21:30","Germany (DE)","56449.32","56139.14"
"03/01/2020 21:30 - 03/01/2020 21:45","Germany (DE)","55742.36","55457.55"
"03/01/2020 21:45 - 03/01/2020 22:00","Germany (DE)","55153.74","55168.48"
"03/01/2020 22:00 - 03/01/2020 22:15","Germany (DE)","55227.83","55161.30"
"03/01/2020 22:15 - 03/01/2020 22:30","Germany (DE)","54973.33","54672.42"
"03/01/2020 22:30 - 03/01/2020 22:45","Germany (DE)","54256.13","53989.13"
"03/01/2020 22:45 - 03/01/2020 23:00","Germany (DE)","53533.73","53183.90"
"03/01/2020 23:00 - 03/01/2020 23:15","Germany (DE)","52724.75","52396.93"
"03/01/2020 23:15 - 03/01/2020 23:30","Germany (DE)","51872.16","51569.26"
"03/01/2020 23:30 - 03/01/2020 23:45","Germany (DE)","50814.28","50861.38"
