"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2023 00:00 - 01/01/2023 00:15","Germany (DE)","38691.79","42608.51"
"01/01/2023 00:15 - 01/01/2023 00:30","Germany (DE)","38374.22","42152.13"
"01/01/2023 00:30 - 01/01/2023 00:45","Germany (DE)","38247.99","41520.08"
"01/01/2023 00:45 - 01/01/2023 01:00","Germany (DE)","38070.16","40889.17"
"01/01/2023 01:00 - 01/01/2023 01:15","Germany (DE)","37733.38","40431.27"
"01/01/2023 01:15 - 01/01/2023 01:30","Germany (DE)","37634.42","39862.14"
"01/01/2023 01:30 - 01/01/2023 01:45","Germany (DE)","38043.50","39342.06"
"01/01/2023 01:45 - 01/01/2023 02:00","Germany (DE)","37697.52","38849.27"
"01/01/2023 02:00 - 01/01/2023 02:15","Germany (DE)","37277.43","38663.02"
"01/01/2023 02:15 - 01/01/2023 02:30","Germany (DE)","37067.22","38550.85"
"01/01/2023 02:30 - 01/01/2023 02:45","Germany (DE)","36846.69","38061.68"
"01/01/2023 02:45 - 01/01/2023 03:00","Germany (DE)","36568.39","37686.57"
"01/01/2023 03:00 - 01/01/2023 03:15","Germany (DE)","36371.05","37247.41"
"01/01/2023 03:15 - 01/01/2023 03:30","Germany (DE)","35858.23","37265.61"
"01/01/2023 03:30 - 01/01/2023 03:45","Germany (DE)","35735.64","37175.38"
"01/01/2023 03:45 - 01/01/2023 04:00","Germany (DE)","35764.63","37134.25"
"01/01/2023 04:00 - 01/01/2023 04:15","Germany (DE)","35625.32","37392.84"
"01/01/2023 04:15 - 01/01/2023 04:30","Germany (DE)","35419.56","37456.80"
"01/01/2023 04:30 - 01/01/2023 04:45","Germany (DE)","35399.08","37342.87"
"01/01/2023 04:45 - 01/01/2023 05:00","Germany (DE)","35501.00","37114.43"
"01/01/2023 05:00 - 01/01/2023 05:15","Germany (DE)","35655.03","36957.54"
"01/01/2023 05:15 - 01/01/2023 05:30","Germany (DE)","35653.39","36462.41"
"01/01/2023 05:30 - 01/01/2023 05:45","Germany (DE)","35725.52","36016.20"
"01/01/2023 05:45 - 01/01/2023 06:00","Germany (DE)","35554.69","35539.77"
"01/01/2023 06:00 - 01/01/2023 06:15","Germany (DE)","35195.61","34803.27"
"01/01/2023 06:15 - 01/01/2023 06:30","Germany (DE)","35391.76","34869.98"
"01/01/2023 06:30 - 01/01/2023 06:45","Germany (DE)","35151.99","34331.32"
"01/01/2023 06:45 - 01/01/2023 07:00","Germany (DE)","35187.05","34344.66"
"01/01/2023 07:00 - 01/01/2023 07:15","Germany (DE)","35834.45","34643.80"
"01/01/2023 07:15 - 01/01/2023 07:30","Germany (DE)","36060.50","34759.79"
"01/01/2023 07:30 - 01/01/2023 07:45","Germany (DE)","36277.55","35168.84"
"01/01/2023 07:45 - 01/01/2023 08:00","Germany (DE)","36516.02","35216.37"
"01/01/2023 08:00 - 01/01/2023 08:15","Germany (DE)","36244.47","36035.28"
"01/01/2023 08:15 - 01/01/2023 08:30","Germany (DE)","36530.14","36205.87"
"01/01/2023 08:30 - 01/01/2023 08:45","Germany (DE)","37056.91","36634.31"
"01/01/2023 08:45 - 01/01/2023 09:00","Germany (DE)","37485.86","37194.18"
"01/01/2023 09:00 - 01/01/2023 09:15","Germany (DE)","38083.96","38345.20"
"01/01/2023 09:15 - 01/01/2023 09:30","Germany (DE)","38984.65","38952.26"
"01/01/2023 09:30 - 01/01/2023 09:45","Germany (DE)","39657.46","39396.98"
"01/01/2023 09:45 - 01/01/2023 10:00","Germany (DE)","40180.32","39815.11"
"01/01/2023 10:00 - 01/01/2023 10:15","Germany (DE)","39905.67","40690.94"
"01/01/2023 10:15 - 01/01/2023 10:30","Germany (DE)","40588.44","40901.39"
"01/01/2023 10:30 - 01/01/2023 10:45","Germany (DE)","41436.13","41440.31"
"01/01/2023 10:45 - 01/01/2023 11:00","Germany (DE)","42091.95","41671.37"
"01/01/2023 11:00 - 01/01/2023 11:15","Germany (DE)","42612.78","42461.67"
"01/01/2023 11:15 - 01/01/2023 11:30","Germany (DE)","43615.30","43183.13"
"01/01/2023 11:30 - 01/01/2023 11:45","Germany (DE)","44244.67","43412.13"
"01/01/2023 11:45 - 01/01/2023 12:00","Germany (DE)","44338.71","43362.54"
"01/01/2023 12:00 - 01/01/2023 12:15","Germany (DE)","44353.60","43421.76"
"01/01/2023 12:15 - 01/01/2023 12:30","Germany (DE)","44454.49","43416.57"
"01/01/2023 12:30 - 01/01/2023 12:45","Germany (DE)","44197.59","43269.33"
"01/01/2023 12:45 - 01/01/2023 13:00","Germany (DE)","43816.88","42902.37"
"01/01/2023 13:00 - 01/01/2023 13:15","Germany (DE)","43943.84","42730.75"
"01/01/2023 13:15 - 01/01/2023 13:30","Germany (DE)","43726.92","42490.80"
"01/01/2023 13:30 - 01/01/2023 13:45","Germany (DE)","43542.22","42625.51"
"01/01/2023 13:45 - 01/01/2023 14:00","Germany (DE)","43273.71","42602.81"
"01/01/2023 14:00 - 01/01/2023 14:15","Germany (DE)","43237.45","42313.39"
"01/01/2023 14:15 - 01/01/2023 14:30","Germany (DE)","43121.93","42216.75"
"01/01/2023 14:30 - 01/01/2023 14:45","Germany (DE)","43365.40","42298.48"
"01/01/2023 14:45 - 01/01/2023 15:00","Germany (DE)","43202.14","42440.51"
"01/01/2023 15:00 - 01/01/2023 15:15","Germany (DE)","43650.60","42962.82"
"01/01/2023 15:15 - 01/01/2023 15:30","Germany (DE)","43513.82","42869.83"
"01/01/2023 15:30 - 01/01/2023 15:45","Germany (DE)","43748.51","43268.98"
"01/01/2023 15:45 - 01/01/2023 16:00","Germany (DE)","43853.14","43564.51"
"01/01/2023 16:00 - 01/01/2023 16:15","Germany (DE)","44617.68","43969.39"
"01/01/2023 16:15 - 01/01/2023 16:30","Germany (DE)","45219.09","44386.34"
"01/01/2023 16:30 - 01/01/2023 16:45","Germany (DE)","45939.24","45238.83"
"01/01/2023 16:45 - 01/01/2023 17:00","Germany (DE)","46899.27","46387.00"
"01/01/2023 17:00 - 01/01/2023 17:15","Germany (DE)","48158.80","47623.41"
"01/01/2023 17:15 - 01/01/2023 17:30","Germany (DE)","48566.21","48142.44"
"01/01/2023 17:30 - 01/01/2023 17:45","Germany (DE)","48976.37","48021.63"
"01/01/2023 17:45 - 01/01/2023 18:00","Germany (DE)","49227.45","48325.11"
"01/01/2023 18:00 - 01/01/2023 18:15","Germany (DE)","49294.40","48646.02"
"01/01/2023 18:15 - 01/01/2023 18:30","Germany (DE)","49106.96","48972.53"
"01/01/2023 18:30 - 01/01/2023 18:45","Germany (DE)","48789.40","48982.83"
"01/01/2023 18:45 - 01/01/2023 19:00","Germany (DE)","48338.11","48842.74"
"01/01/2023 19:00 - 01/01/2023 19:15","Germany (DE)","48286.61","48817.06"
"01/01/2023 19:15 - 01/01/2023 19:30","Germany (DE)","47738.09","48351.75"
"01/01/2023 19:30 - 01/01/2023 19:45","Germany (DE)","47283.09","47963.86"
"01/01/2023 19:45 - 01/01/2023 20:00","Germany (DE)","46565.77","47393.70"
"01/01/2023 20:00 - 01/01/2023 20:15","Germany (DE)","46039.37","46412.56"
"01/01/2023 20:15 - 01/01/2023 20:30","Germany (DE)","45291.78","45881.54"
"01/01/2023 20:30 - 01/01/2023 20:45","Germany (DE)","44476.50","45573.74"
"01/01/2023 20:45 - 01/01/2023 21:00","Germany (DE)","43725.89","45045.10"
