"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2022 17:45 - 01/01/2022 18:00","Germany (DE)","52322.31","51446.25"
"01/01/2022 18:00 - 01/01/2022 18:15","Germany (DE)","52605.63","51817.33"
"01/01/2022 18:15 - 01/01/2022 18:30","Germany (DE)","52789.90","52015.89"
"01/01/2022 18:30 - 01/01/2022 18:45","Germany (DE)","52580.11","52074.18"
"01/01/2022 18:45 - 01/01/2022 19:00","Germany (DE)","52405.43","51650.51"
"01/01/2022 19:00 - 01/01/2022 19:15","Germany (DE)","52136.04","51423.89"
"01/01/2022 19:15 - 01/01/2022 19:30","Germany (DE)","51881.80","50487.65"
"01/01/2022 19:30 - 01/01/2022 19:45","Germany (DE)","51539.07","50640.00"
"01/01/2022 19:45 - 01/01/2022 20:00","Germany (DE)","50923.08","49923.19"
"01/01/2022 20:00 - 01/01/2022 20:15","Germany (DE)","50581.48","49236.82"
"01/01/2022 20:15 - 01/01/2022 20:30","Germany (DE)","49963.25","48730.91"
"01/01/2022 20:30 - 01/01/2022 20:45","Germany (DE)","49345.27","48243.31"
"01/01/2022 20:45 - 01/01/2022 21:00","Germany (DE)","48841.84","47582.50"
"01/01/2022 21:00 - 01/01/2022 21:15","Germany (DE)","48499.37","47272.46"
"01/01/2022 21:15 - 01/01/2022 21:30","Germany (DE)","47988.16","47193.07"
"01/01/2022 21:30 - 01/01/2022 21:45","Germany (DE)","47976.48","47146.46"
"01/01/2022 21:45 - 01/01/2022 22:00","Germany (DE)","47744.52","46931.83"
"01/01/2022 22:00 - 01/01/2022 22:15","Germany (DE)","48090.95","47211.98"
"01/01/2022 22:15 - 01/01/2022 22:30","Germany (DE)","47792.12","46883.15"
"01/01/2022 22:30 - 01/01/2022 22:45","Germany (DE)","47301.36","46489.93"
"01/01/2022 22:45 - 01/01/2022 23:00","Germany (DE)","46723.18","45955.43"
"01/01/2022 23:00 - 01/01/2022 23:15","Germany (DE)","45868.35","45352.60"
"01/01/2022 23:15 - 01/01/2022 23:30","Germany (DE)","45263.56","44736.69"
"01/01/2022 23:30 - 01/01/2022 23:45","Germany (DE)","44664.97","43842.37"
"01/01/2022 23:45 - 02/01/2022 00:00","Germany (DE)","43689.63","43071.63"
"02/01/2022 00:00 - 02/01/2022 00:15","Germany (DE)","42895.98","45743.79"
