"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2023 00:00 - 01/01/2023 01:00","Italy (IT)","20555.00","20762.00"
"01/01/2023 01:00 - 01/01/2023 02:00","Italy (IT)","19857.00","19220.00"
"01/01/2023 02:00 - 01/01/2023 03:00","Italy (IT)","18810.00","18280.00"
"01/01/2023 03:00 - 01/01/2023 04:00","Italy (IT)","17892.00","17553.00"
"01/01/2023 04:00 - 01/01/2023 05:00","Italy (IT)","17407.00","17670.00"
"01/01/2023 05:00 - 01/01/2023 06:00","Italy (IT)","17455.00","17804.00"
"01/01/2023 06:00 - 01/01/2023 07:00","Italy (IT)","18089.00","18440.00"
"01/01/2023 07:00 - 01/01/2023 08:00","Italy (IT)","18419.00","19182.00"
"01/01/2023 08:00 - 01/01/2023 09:00","Italy (IT)","18967.00","19701.00"
"01/01/2023 09:00 - 01/01/2023 10:00","Italy (IT)","20504.00","21181.00"
"01/01/2023 10:00 - 01/01/2023 11:00","Italy (IT)","21519.00","21853.00"
"01/01/2023 11:00 - 01/01/2023 12:00","Italy (IT)","22795.00","22807.00"
"01/01/2023 12:00 - 01/01/2023 13:00","Italy (IT)","23187.00","23169.00"
"01/01/2023 13:00 - 01/01/2023 14:00","Italy (IT)","22455.00","22520.00"
"01/01/2023 14:00 - 01/01/2023 15:00","Italy (IT)","21605.00","21871.00"
"01/01/2023 15:00 - 01/01/2023 16:00","Italy (IT)","21812.00","21917.00"
"01/01/2023 16:00 - 01/01/2023 17:00","Italy (IT)","22483.00","22660.00"
"01/01/2023 17:00 - 01/01/2023 18:00","Italy (IT)","24927.00","25468.00"
"01/01/2023 18:00 - 01/01/2023 19:00","Italy (IT)","25770.00","26458.00"
"01/01/2023 19:00 - 01/01/2023 20:00","Italy (IT)","26367.00","27012.00"
"01/01/2023 20:00 - 01/01/2023 21:00","Italy (IT)","25863.00","26603.00"
"01/01/2023 21:00 - 01/01/2023 22:00","Italy (IT)","24617.00","25646.00"
"01/01/2023 22:00 - 01/01/2023 23:00","Italy (IT)","22944.00","23825.00"
"01/01/2023 23:00 - 02/01/2023 00:00","Italy (IT)","20791.00","21709.00"
"02/01/2023 00:00 - 02/01/2023 01:00","Italy (IT)","19198.00","19654.00"
"02/01/2023 01:00 - 02/01/2023 02:00","Italy (IT)","17966.00","18554.00"
"02/01/2023 02:00 - 02/01/2023 03:00","Italy (IT)","17290.00","17756.00"
"02/01/2023 03:00 - 02/01/2023 04:00","Italy (IT)","17003.00","17468.00"
"02/01/2023 04:00 - 02/01/2023 05:00","Italy (IT)","17296.00","17682.00"
"02/01/2023 05:00 - 02/01/2023 06:00","Italy (IT)","18763.00","18871.00"
"02/01/2023 06:00 - 02/01/2023 07:00","Italy (IT)","22130.00","22668.00"
"02/01/2023 07:00 - 02/01/2023 08:00","Italy (IT)","25693.00","26248.00"
"02/01/2023 08:00 - 02/01/2023 09:00","Italy (IT)","28869.00","30270.00"
"02/01/2023 09:00 - 02/01/2023 10:00","Italy (IT)","30962.00","33052.00"
"02/01/2023 10:00 - 02/01/2023 11:00","Italy (IT)","31208.00","33293.00"
"02/01/2023 11:00 - 02/01/2023 12:00","Italy (IT)","31206.00","33337.00"
"02/01/2023 12:00 - 02/01/2023 13:00","Italy (IT)","30554.00","32360.00"
"02/01/2023 13:00 - 02/01/2023 14:00","Italy (IT)","30210.00","32513.00"
"02/01/2023 14:00 - 02/01/2023 15:00","Italy (IT)","30573.00","33367.00"
"02/01/2023 15:00 - 02/01/2023 16:00","Italy (IT)","30719.00","33742.00"
"02/01/2023 16:00 - 02/01/2023 17:00","Italy (IT)","31317.00","34094.00"
"02/01/2023 17:00 - 02/01/2023 18:00","Italy (IT)","33063.00","35245.00"
"02/01/2023 18:00 - 02/01/2023 19:00","Italy (IT)","33043.00","35334.00"
"02/01/2023 19:00 - 02/01/2023 20:00","Italy (IT)","33006.00","34909.00"
"02/01/2023 20:00 - 02/01/2023 21:00","Italy (IT)","31363.00","33297.00"
"02/01/2023 21:00 - 02/01/2023 22:00","Italy (IT)","28981.00","30764.00"
"02/01/2023 22:00 - 02/01/2023 23:00","Italy (IT)","26236.00","27778.00"
"02/01/2023 23:00 - 03/01/2023 00:00","Italy (IT)","23645.00","24846.00"
"03/01/2023 00:00 - 03/01/2023 01:00","Italy (IT)","21134.00","21933.00"
"03/01/2023 01:00 - 03/01/2023 02:00","Italy (IT)","19828.00","20576.00"
"03/01/2023 02:00 - 03/01/2023 03:00","Italy (IT)","19026.00","19685.00"
"03/01/2023 03:00 - 03/01/2023 04:00","Italy (IT)","18756.00","19345.00"
"03/01/2023 04:00 - 03/01/2023 05:00","Italy (IT)","19031.00","19545.00"
"03/01/2023 05:00 - 03/01/2023 06:00","Italy (IT)","20371.00","21012.00"
"03/01/2023 06:00 - 03/01/2023 07:00","Italy (IT)","23652.00","24138.00"
"03/01/2023 07:00 - 03/01/2023 08:00","Italy (IT)","27449.00","27525.00"
"03/01/2023 08:00 - 03/01/2023 09:00","Italy (IT)","31101.00","30850.00"
"03/01/2023 09:00 - 03/01/2023 10:00","Italy (IT)","33057.00","32847.00"
"03/01/2023 10:00 - 03/01/2023 11:00","Italy (IT)","33020.00","33035.00"
"03/01/2023 11:00 - 03/01/2023 12:00","Italy (IT)","32517.00","32955.00"
"03/01/2023 12:00 - 03/01/2023 13:00","Italy (IT)","31745.00","32193.00"
"03/01/2023 13:00 - 03/01/2023 14:00","Italy (IT)","31413.00","31450.00"
"03/01/2023 14:00 - 03/01/2023 15:00","Italy (IT)","32037.00","31851.00"
"03/01/2023 15:00 - 03/01/2023 16:00","Italy (IT)","32356.00","32446.00"
"03/01/2023 16:00 - 03/01/2023 17:00","Italy (IT)","32992.00","32524.00"
"03/01/2023 17:00 - 03/01/2023 18:00","Italy (IT)","34881.00","34322.00"
"03/01/2023 18:00 - 03/01/2023 19:00","Italy (IT)","34852.00","34563.00"
"03/01/2023 19:00 - 03/01/2023 20:00","Italy (IT)","34613.00","34184.00"
"03/01/2023 20:00 - 03/01/2023 21:00","Italy (IT)","32511.00","32080.00"
