"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2022 00:00 - 01/01/2022 01:00","Italy (IT)","22218.00","22748.00"
"01/01/2022 01:00 - 01/01/2022 02:00","Italy (IT)","21121.00","21537.00"
"01/01/2022 02:00 - 01/01/2022 03:00","Italy (IT)","19756.00","20363.00"
"01/01/2022 03:00 - 01/01/2022 04:00","Italy (IT)","18685.00","18998.00"
"01/01/2022 04:00 - 01/01/2022 05:00","Italy (IT)","18124.00","18639.00"
"01/01/2022 05:00 - 01/01/2022 06:00","Italy (IT)","18400.00","18818.00"
"01/01/2022 06:00 - 01/01/2022 07:00","Italy (IT)","19223.00","19495.00"
"01/01/2022 07:00 - 01/01/2022 08:00","Italy (IT)","19738.00","19830.00"
"01/01/2022 08:00 - 01/01/2022 09:00","Italy (IT)","20289.00","19696.00"
"01/01/2022 09:00 - 01/01/2022 10:00","Italy (IT)","21469.00","20937.00"
"01/01/2022 10:00 - 01/01/2022 11:00","Italy (IT)","22735.00","22094.00"
"01/01/2022 11:00 - 01/01/2022 12:00","Italy (IT)","23636.00","23873.00"
"01/01/2022 12:00 - 01/01/2022 13:00","Italy (IT)","24182.00","24377.00"
"01/01/2022 13:00 - 01/01/2022 14:00","Italy (IT)","23270.00","23355.00"
"01/01/2022 14:00 - 01/01/2022 15:00","Italy (IT)","22755.00","22359.00"
"01/01/2022 15:00 - 01/01/2022 16:00","Italy (IT)","22881.00","22570.00"
"01/01/2022 16:00 - 01/01/2022 17:00","Italy (IT)","23818.00","23390.00"
"01/01/2022 17:00 - 01/01/2022 18:00","Italy (IT)","26742.00","25751.00"
"01/01/2022 18:00 - 01/01/2022 19:00","Italy (IT)","27672.00","27476.00"
"01/01/2022 19:00 - 01/01/2022 20:00","Italy (IT)","28393.00","28114.00"
"01/01/2022 20:00 - 01/01/2022 21:00","Italy (IT)","27996.00","28191.00"
"01/01/2022 21:00 - 01/01/2022 22:00","Italy (IT)","26693.00","26806.00"
"01/01/2022 22:00 - 01/01/2022 23:00","Italy (IT)","24635.00","24932.00"
"01/01/2022 23:00 - 02/01/2022 00:00","Italy (IT)","22404.00","22653.00"
"02/01/2022 00:00 - 02/01/2022 01:00","Italy (IT)","20428.00","20733.00"
"02/01/2022 01:00 - 02/01/2022 02:00","Italy (IT)","18989.00","19062.00"
"02/01/2022 02:00 - 02/01/2022 03:00","Italy (IT)","18083.00","17959.00"
"02/01/2022 03:00 - 02/01/2022 04:00","Italy (IT)","17740.00","17383.00"
"02/01/2022 04:00 - 02/01/2022 05:00","Italy (IT)","17737.00","17353.00"
"02/01/2022 05:00 - 02/01/2022 06:00","Italy (IT)","18409.00","18028.00"
"02/01/2022 06:00 - 02/01/2022 07:00","Italy (IT)","19869.00","19409.00"
"02/01/2022 07:00 - 02/01/2022 08:00","Italy (IT)","21148.00","20746.00"
"02/01/2022 08:00 - 02/01/2022 09:00","Italy (IT)","22332.00","22301.00"
"02/01/2022 09:00 - 02/01/2022 10:00","Italy (IT)","23775.00","23811.00"
"02/01/2022 10:00 - 02/01/2022 11:00","Italy (IT)","24697.00","24943.00"
"02/01/2022 11:00 - 02/01/2022 12:00","Italy (IT)","25360.00","25422.00"
