"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2018 00:00 - 01/01/2018 01:00","Italy (IT)","23071.00","23183.00"
"01/01/2018 01:00 - 01/01/2018 02:00","Italy (IT)","22305.00","21673.00"
"01/01/2018 02:00 - 01/01/2018 03:00","Italy (IT)","20971.00","20333.00"
"01/01/2018 03:00 - 01/01/2018 04:00","Italy (IT)","19875.00","19443.00"
"01/01/2018 04:00 - 01/01/2018 05:00","Italy (IT)","19074.00","18943.00"
"01/01/2018 05:00 - 01/01/2018 06:00","Italy (IT)","19346.00","18992.00"
"01/01/2018 06:00 - 01/01/2018 07:00","Italy (IT)","20168.00","19620.00"
"01/01/2018 07:00 - 01/01/2018 08:00","Italy (IT)","20810.00","19976.00"
"01/01/2018 08:00 - 01/01/2018 09:00","Italy (IT)","21102.00","19611.00"
"01/01/2018 09:00 - 01/01/2018 10:00","Italy (IT)","22429.00","20899.00"
"01/01/2018 10:00 - 01/01/2018 11:00","Italy (IT)","24334.00","22272.00"
"01/01/2018 11:00 - 01/01/2018 12:00","Italy (IT)","26221.00","24002.00"
"01/01/2018 12:00 - 01/01/2018 13:00","Italy (IT)","26951.00","24673.00"
"01/01/2018 13:00 - 01/01/2018 14:00","Italy (IT)","25704.00","23366.00"
"01/01/2018 14:00 - 01/01/2018 15:00","Italy (IT)","24619.00","22156.00"
"01/01/2018 15:00 - 01/01/2018 16:00","Italy (IT)","24462.00","22664.00"
"01/01/2018 16:00 - 01/01/2018 17:00","Italy (IT)","25641.00","24318.00"
"01/01/2018 17:00 - 01/01/2018 18:00","Italy (IT)","28437.00","27621.00"
"01/01/2018 18:00 - 01/01/2018 19:00","Italy (IT)","29306.00","28935.00"
"01/01/2018 19:00 - 01/01/2018 20:00","Italy (IT)","30026.00","29689.00"
"01/01/2018 20:00 - 01/01/2018 21:00","Italy (IT)","29421.00","29827.00"
"01/01/2018 21:00 - 01/01/2018 22:00","Italy (IT)","28143.00","28253.00"
"01/01/2018 22:00 - 01/01/2018 23:00","Italy (IT)","26158.00","26379.00"
"01/01/2018 23:00 - 02/01/2018 00:00","Italy (IT)","23894.00","24202.00"
"02/01/2018 00:00 - 02/01/2018 01:00","Italy (IT)","21288.00","21029.00"
"02/01/2018 01:00 - 02/01/2018 02:00","Italy (IT)","19610.00","19682.00"
"02/01/2018 02:00 - 02/01/2018 03:00","Italy (IT)","18897.00","18743.00"
"02/01/2018 03:00 - 02/01/2018 04:00","Italy (IT)","18642.00","18517.00"
"02/01/2018 04:00 - 02/01/2018 05:00","Italy (IT)","18996.00","18712.00"
"02/01/2018 05:00 - 02/01/2018 06:00","Italy (IT)","20627.00","21091.00"
"02/01/2018 06:00 - 02/01/2018 07:00","Italy (IT)","24788.00","24871.00"
"02/01/2018 07:00 - 02/01/2018 08:00","Italy (IT)","28974.00","29340.00"
"02/01/2018 08:00 - 02/01/2018 09:00","Italy (IT)","33188.00","33668.00"
"02/01/2018 09:00 - 02/01/2018 10:00","Italy (IT)","36344.00","36425.00"
"02/01/2018 10:00 - 02/01/2018 11:00","Italy (IT)","36772.00","36994.00"
"02/01/2018 11:00 - 02/01/2018 12:00","Italy (IT)","36663.00","37010.00"
"02/01/2018 12:00 - 02/01/2018 13:00","Italy (IT)","35771.00","36102.00"
"02/01/2018 13:00 - 02/01/2018 14:00","Italy (IT)","34421.00","35687.00"
"02/01/2018 14:00 - 02/01/2018 15:00","Italy (IT)","34686.00","36299.00"
"02/01/2018 15:00 - 02/01/2018 16:00","Italy (IT)","34930.00","37458.00"
"02/01/2018 16:00 - 02/01/2018 17:00","Italy (IT)","36315.00","39481.00"
"02/01/2018 17:00 - 02/01/2018 18:00","Italy (IT)","39816.00","41236.00"
"02/01/2018 18:00 - 02/01/2018 19:00","Italy (IT)","39814.00","41055.00"
"02/01/2018 19:00 - 02/01/2018 20:00","Italy (IT)","39142.00","39932.00"
"02/01/2018 20:00 - 02/01/2018 21:00","Italy (IT)","36928.00","37594.00"
"02/01/2018 21:00 - 02/01/2018 22:00","Italy (IT)","34148.00","34772.00"
"02/01/2018 22:00 - 02/01/2018 23:00","Italy (IT)","30520.00","30798.00"
"02/01/2018 23:00 - 03/01/2018 00:00","Italy (IT)","27368.00","27415.00"
