"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2016 00:00 - 01/01/2016 01:00","Italy (IT)","22853.00","23891.00"
"01/01/2016 01:00 - 01/01/2016 02:00","Italy (IT)","21665.00","22718.00"
"01/01/2016 02:00 - 01/01/2016 03:00","Italy (IT)","20260.00","21306.00"
"01/01/2016 03:00 - 01/01/2016 04:00","Italy (IT)","19056.00","20178.00"
"01/01/2016 04:00 - 01/01/2016 05:00","Italy (IT)","18407.00","19635.00"
"01/01/2016 05:00 - 01/01/2016 06:00","Italy (IT)","18425.00","19712.00"
"01/01/2016 06:00 - 01/01/2016 07:00","Italy (IT)","19261.00","20276.00"
"01/01/2016 07:00 - 01/01/2016 08:00","Italy (IT)","19673.00","20739.00"
"01/01/2016 08:00 - 01/01/2016 09:00","Italy (IT)","19927.00","20855.00"
"01/01/2016 09:00 - 01/01/2016 10:00","Italy (IT)","21403.00","22437.00"
"01/01/2016 10:00 - 01/01/2016 11:00","Italy (IT)","22819.00","23854.00"
"01/01/2016 11:00 - 01/01/2016 12:00","Italy (IT)","23995.00","25184.00"
"01/01/2016 12:00 - 01/01/2016 13:00","Italy (IT)","24516.00","25294.00"
"01/01/2016 13:00 - 01/01/2016 14:00","Italy (IT)","23206.00","24063.00"
"01/01/2016 14:00 - 01/01/2016 15:00","Italy (IT)","22244.00","23266.00"
"01/01/2016 15:00 - 01/01/2016 16:00","Italy (IT)","22551.00","23494.00"
"01/01/2016 16:00 - 01/01/2016 17:00","Italy (IT)","23949.00","24740.00"
"01/01/2016 17:00 - 01/01/2016 18:00","Italy (IT)","27964.00","28764.00"
"01/01/2016 18:00 - 01/01/2016 19:00","Italy (IT)","28978.00","30248.00"
"01/01/2016 19:00 - 01/01/2016 20:00","Italy (IT)","29504.00","30668.00"
"01/01/2016 20:00 - 01/01/2016 21:00","Italy (IT)","29082.00","30607.00"
"01/01/2016 21:00 - 01/01/2016 22:00","Italy (IT)","27681.00","29438.00"
"01/01/2016 22:00 - 01/01/2016 23:00","Italy (IT)","25626.00","27707.00"
"01/01/2016 23:00 - 02/01/2016 00:00","Italy (IT)","23131.00","25311.00"
"02/01/2016 00:00 - 02/01/2016 01:00","Italy (IT)","21420.00","21650.00"
"02/01/2016 01:00 - 02/01/2016 02:00","Italy (IT)","19651.00","19831.00"
"02/01/2016 02:00 - 02/01/2016 03:00","Italy (IT)","18679.00","18792.00"
"02/01/2016 03:00 - 02/01/2016 04:00","Italy (IT)","18264.00","18258.00"
"02/01/2016 04:00 - 02/01/2016 05:00","Italy (IT)","18346.00","18211.00"
"02/01/2016 05:00 - 02/01/2016 06:00","Italy (IT)","19236.00","18755.00"
"02/01/2016 06:00 - 02/01/2016 07:00","Italy (IT)","21300.00","20596.00"
"02/01/2016 07:00 - 02/01/2016 08:00","Italy (IT)","23333.00","22744.00"
"02/01/2016 08:00 - 02/01/2016 09:00","Italy (IT)","25221.00","24596.00"
"02/01/2016 09:00 - 02/01/2016 10:00","Italy (IT)","27697.00","27487.00"
"02/01/2016 10:00 - 02/01/2016 11:00","Italy (IT)","28637.00","28343.00"
"02/01/2016 11:00 - 02/01/2016 12:00","Italy (IT)","29080.00","28725.00"
"02/01/2016 12:00 - 02/01/2016 13:00","Italy (IT)","29077.00","28674.00"
"02/01/2016 13:00 - 02/01/2016 14:00","Italy (IT)","28364.00","27713.00"
"02/01/2016 14:00 - 02/01/2016 15:00","Italy (IT)","27879.00","27000.00"
"02/01/2016 15:00 - 02/01/2016 16:00","Italy (IT)","28269.00","27059.00"
"02/01/2016 16:00 - 02/01/2016 17:00","Italy (IT)","29808.00","27695.00"
"02/01/2016 17:00 - 02/01/2016 18:00","Italy (IT)","33054.00","31915.00"
"02/01/2016 18:00 - 02/01/2016 19:00","Italy (IT)","33860.00","34066.00"
"02/01/2016 19:00 - 02/01/2016 20:00","Italy (IT)","33850.00","34318.00"
"02/01/2016 20:00 - 02/01/2016 21:00","Italy (IT)","31760.00","32718.00"
"02/01/2016 21:00 - 02/01/2016 22:00","Italy (IT)","29295.00","30516.00"
"02/01/2016 22:00 - 02/01/2016 23:00","Italy (IT)","26658.00","27314.00"
"02/01/2016 23:00 - 03/01/2016 00:00","Italy (IT)","24332.00","25035.00"
"03/01/2016 00:00 - 03/01/2016 01:00","Italy (IT)","21855.00","22528.00"
"03/01/2016 01:00 - 03/01/2016 02:00","Italy (IT)","20156.00","20646.00"
"03/01/2016 02:00 - 03/01/2016 03:00","Italy (IT)","19200.00","19424.00"
