"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2017 00:00 - 01/01/2017 01:00","Italy (IT)","23663.00","24763.00"
"01/01/2017 01:00 - 01/01/2017 02:00","Italy (IT)","22515.00","22920.00"
"01/01/2017 02:00 - 01/01/2017 03:00","Italy (IT)","21158.00","21083.00"
"01/01/2017 03:00 - 01/01/2017 04:00","Italy (IT)","19807.00","19947.00"
"01/01/2017 04:00 - 01/01/2017 05:00","Italy (IT)","19096.00","19311.00"
"01/01/2017 05:00 - 01/01/2017 06:00","Italy (IT)","19091.00","19144.00"
"01/01/2017 06:00 - 01/01/2017 07:00","Italy (IT)","19766.00","19963.00"
"01/01/2017 07:00 - 01/01/2017 08:00","Italy (IT)","20008.00","20542.00"
"01/01/2017 08:00 - 01/01/2017 09:00","Italy (IT)","20273.00","20400.00"
"01/01/2017 09:00 - 01/01/2017 10:00","Italy (IT)","21531.00","21511.00"
"01/01/2017 10:00 - 01/01/2017 11:00","Italy (IT)","22681.00","22345.00"
"01/01/2017 11:00 - 01/01/2017 12:00","Italy (IT)","23576.00","23140.00"
"01/01/2017 12:00 - 01/01/2017 13:00","Italy (IT)","23886.00","23482.00"
"01/01/2017 13:00 - 01/01/2017 14:00","Italy (IT)","22581.00","22484.00"
"01/01/2017 14:00 - 01/01/2017 15:00","Italy (IT)","21647.00","21419.00"
"01/01/2017 15:00 - 01/01/2017 16:00","Italy (IT)","22111.00","21644.00"
"01/01/2017 16:00 - 01/01/2017 17:00","Italy (IT)","23864.00","23263.00"
"01/01/2017 17:00 - 01/01/2017 18:00","Italy (IT)","27750.00","27146.00"
"01/01/2017 18:00 - 01/01/2017 19:00","Italy (IT)","29075.00","29097.00"
"01/01/2017 19:00 - 01/01/2017 20:00","Italy (IT)","29650.00","30113.00"
"01/01/2017 20:00 - 01/01/2017 21:00","Italy (IT)","29290.00","30096.00"
"01/01/2017 21:00 - 01/01/2017 22:00","Italy (IT)","28143.00","28797.00"
"01/01/2017 22:00 - 01/01/2017 23:00","Italy (IT)","26074.00","27099.00"
"01/01/2017 23:00 - 02/01/2017 00:00","Italy (IT)","23658.00","24479.00"
"02/01/2017 00:00 - 02/01/2017 01:00","Italy (IT)","21252.00","22054.00"
"02/01/2017 01:00 - 02/01/2017 02:00","Italy (IT)","19425.00","20087.00"
"02/01/2017 02:00 - 02/01/2017 03:00","Italy (IT)","18677.00","19026.00"
"02/01/2017 03:00 - 02/01/2017 04:00","Italy (IT)","18466.00","18626.00"
"02/01/2017 04:00 - 02/01/2017 05:00","Italy (IT)","18837.00","18829.00"
"02/01/2017 05:00 - 02/01/2017 06:00","Italy (IT)","20349.00","20012.00"
"02/01/2017 06:00 - 02/01/2017 07:00","Italy (IT)","23999.00","23283.00"
"02/01/2017 07:00 - 02/01/2017 08:00","Italy (IT)","28050.00","27325.00"
"02/01/2017 08:00 - 02/01/2017 09:00","Italy (IT)","31901.00","31650.00"
"02/01/2017 09:00 - 02/01/2017 10:00","Italy (IT)","34179.00","34746.00"
"02/01/2017 10:00 - 02/01/2017 11:00","Italy (IT)","34250.00","35907.00"
"02/01/2017 11:00 - 02/01/2017 12:00","Italy (IT)","34217.00","36061.00"
"02/01/2017 12:00 - 02/01/2017 13:00","Italy (IT)","33340.00","34366.00"
"02/01/2017 13:00 - 02/01/2017 14:00","Italy (IT)","32496.00","33549.00"
"02/01/2017 14:00 - 02/01/2017 15:00","Italy (IT)","33105.00","34311.00"
"02/01/2017 15:00 - 02/01/2017 16:00","Italy (IT)","34180.00","34838.00"
"02/01/2017 16:00 - 02/01/2017 17:00","Italy (IT)","35626.00","36214.00"
"02/01/2017 17:00 - 02/01/2017 18:00","Italy (IT)","39067.00","38693.00"
"02/01/2017 18:00 - 02/01/2017 19:00","Italy (IT)","39233.00","38888.00"
"02/01/2017 19:00 - 02/01/2017 20:00","Italy (IT)","38519.00","38635.00"
"02/01/2017 20:00 - 02/01/2017 21:00","Italy (IT)","36141.00","36537.00"
"02/01/2017 21:00 - 02/01/2017 22:00","Italy (IT)","33400.00","33877.00"
"02/01/2017 22:00 - 02/01/2017 23:00","Italy (IT)","30331.00","30619.00"
"02/01/2017 23:00 - 03/01/2017 00:00","Italy (IT)","27134.00","27488.00"
"03/01/2017 00:00 - 03/01/2017 01:00","Italy (IT)","24458.00","23295.00"
"03/01/2017 01:00 - 03/01/2017 02:00","Italy (IT)","22566.00","21475.00"
"03/01/2017 02:00 - 03/01/2017 03:00","Italy (IT)","21643.00","20480.00"
"03/01/2017 03:00 - 03/01/2017 04:00","Italy (IT)","21230.00","20127.00"
"03/01/2017 04:00 - 03/01/2017 05:00","Italy (IT)","21427.00","20270.00"
"03/01/2017 05:00 - 03/01/2017 06:00","Italy (IT)","22884.00","21499.00"
"03/01/2017 06:00 - 03/01/2017 07:00","Italy (IT)","26758.00","24866.00"
"03/01/2017 07:00 - 03/01/2017 08:00","Italy (IT)","30915.00","29178.00"
"03/01/2017 08:00 - 03/01/2017 09:00","Italy (IT)","35124.00","32785.00"
"03/01/2017 09:00 - 03/01/2017 10:00","Italy (IT)","37913.00","35839.00"
"03/01/2017 10:00 - 03/01/2017 11:00","Italy (IT)","38087.00","36315.00"
"03/01/2017 11:00 - 03/01/2017 12:00","Italy (IT)","37981.00","35750.00"
"03/01/2017 12:00 - 03/01/2017 13:00","Italy (IT)","36725.00","34577.00"
"03/01/2017 13:00 - 03/01/2017 14:00","Italy (IT)","35619.00","33791.00"
"03/01/2017 14:00 - 03/01/2017 15:00","Italy (IT)","35826.00","33801.00"
"03/01/2017 15:00 - 03/01/2017 16:00","Italy (IT)","36406.00","34454.00"
"03/01/2017 16:00 - 03/01/2017 17:00","Italy (IT)","37551.00","35838.00"
"03/01/2017 17:00 - 03/01/2017 18:00","Italy (IT)","40975.00","39223.00"
"03/01/2017 18:00 - 03/01/2017 19:00","Italy (IT)","40853.00","40167.00"
"03/01/2017 19:00 - 03/01/2017 20:00","Italy (IT)","40162.00","39880.00"
"03/01/2017 20:00 - 03/01/2017 21:00","Italy (IT)","37640.00","37655.00"
"03/01/2017 21:00 - 03/01/2017 22:00","Italy (IT)","34714.00","34828.00"
"03/01/2017 22:00 - 03/01/2017 23:00","Italy (IT)","31185.00","32041.00"
"03/01/2017 23:00 - 04/01/2017 00:00","Italy (IT)","27914.00","28790.00"
"04/01/2017 00:00 - 04/01/2017 01:00","Italy (IT)","24837.00","25251.00"
"04/01/2017 01:00 - 04/01/2017 02:00","Italy (IT)","22891.00","23345.00"
"04/01/2017 02:00 - 04/01/2017 03:00","Italy (IT)","21966.00","22442.00"
"04/01/2017 03:00 - 04/01/2017 04:00","Italy (IT)","21598.00","22031.00"
"04/01/2017 04:00 - 04/01/2017 05:00","Italy (IT)","21909.00","22044.00"
"04/01/2017 05:00 - 04/01/2017 06:00","Italy (IT)","23188.00","23523.00"
"04/01/2017 06:00 - 04/01/2017 07:00","Italy (IT)","27122.00","26670.00"
"04/01/2017 07:00 - 04/01/2017 08:00","Italy (IT)","31635.00","31173.00"
"04/01/2017 08:00 - 04/01/2017 09:00","Italy (IT)","35759.00","35477.00"
"04/01/2017 09:00 - 04/01/2017 10:00","Italy (IT)","38091.00","38359.00"
"04/01/2017 10:00 - 04/01/2017 11:00","Italy (IT)","38016.00","38943.00"
"04/01/2017 11:00 - 04/01/2017 12:00","Italy (IT)","37450.00","38047.00"
"04/01/2017 12:00 - 04/01/2017 13:00","Italy (IT)","35816.00","36064.00"
"04/01/2017 13:00 - 04/01/2017 14:00","Italy (IT)","35010.00","34967.00"
"04/01/2017 14:00 - 04/01/2017 15:00","Italy (IT)","35291.00","34804.00"
"04/01/2017 15:00 - 04/01/2017 16:00","Italy (IT)","35960.00","35497.00"
"04/01/2017 16:00 - 04/01/2017 17:00","Italy (IT)","37486.00","37371.00"
"04/01/2017 17:00 - 04/01/2017 18:00","Italy (IT)","40771.00","40624.00"
"04/01/2017 18:00 - 04/01/2017 19:00","Italy (IT)","41050.00","41800.00"
"04/01/2017 19:00 - 04/01/2017 20:00","Italy (IT)","40339.00","41469.00"
"04/01/2017 20:00 - 04/01/2017 21:00","Italy (IT)","38038.00","39317.00"
"04/01/2017 21:00 - 04/01/2017 22:00","Italy (IT)","35268.00","36207.00"
"04/01/2017 22:00 - 04/01/2017 23:00","Italy (IT)","31545.00","32882.00"
"04/01/2017 23:00 - 05/01/2017 00:00","Italy (IT)","28148.00","29349.00"
"05/01/2017 00:00 - 05/01/2017 01:00","Italy (IT)","24797.00","25414.00"
"05/01/2017 01:00 - 05/01/2017 02:00","Italy (IT)","22991.00","23184.00"
"05/01/2017 02:00 - 05/01/2017 03:00","Italy (IT)","22042.00","22107.00"
"05/01/2017 03:00 - 05/01/2017 04:00","Italy (IT)","21751.00","21596.00"
"05/01/2017 04:00 - 05/01/2017 05:00","Italy (IT)","21963.00","21987.00"
"05/01/2017 05:00 - 05/01/2017 06:00","Italy (IT)","23090.00","23194.00"
"05/01/2017 06:00 - 05/01/2017 07:00","Italy (IT)","26928.00","26844.00"
"05/01/2017 07:00 - 05/01/2017 08:00","Italy (IT)","31275.00","31239.00"
"05/01/2017 08:00 - 05/01/2017 09:00","Italy (IT)","35297.00","35830.00"
"05/01/2017 09:00 - 05/01/2017 10:00","Italy (IT)","37742.00","38572.00"
"05/01/2017 10:00 - 05/01/2017 11:00","Italy (IT)","38117.00","38826.00"
"05/01/2017 11:00 - 05/01/2017 12:00","Italy (IT)","38075.00","38828.00"
"05/01/2017 12:00 - 05/01/2017 13:00","Italy (IT)","36842.00","37099.00"
"05/01/2017 13:00 - 05/01/2017 14:00","Italy (IT)","35479.00","35781.00"
"05/01/2017 14:00 - 05/01/2017 15:00","Italy (IT)","35230.00","36180.00"
"05/01/2017 15:00 - 05/01/2017 16:00","Italy (IT)","35910.00","36486.00"
"05/01/2017 16:00 - 05/01/2017 17:00","Italy (IT)","37419.00","37766.00"
"05/01/2017 17:00 - 05/01/2017 18:00","Italy (IT)","40758.00","40907.00"
"05/01/2017 18:00 - 05/01/2017 19:00","Italy (IT)","40814.00","41682.00"
"05/01/2017 19:00 - 05/01/2017 20:00","Italy (IT)","39940.00","40770.00"
"05/01/2017 20:00 - 05/01/2017 21:00","Italy (IT)","37286.00","38679.00"
"05/01/2017 21:00 - 05/01/2017 22:00","Italy (IT)","34107.00","35686.00"
"05/01/2017 22:00 - 05/01/2017 23:00","Italy (IT)","30826.00","32569.00"
"05/01/2017 23:00 - 06/01/2017 00:00","Italy (IT)","27932.00","29298.00"
"06/01/2017 00:00 - 06/01/2017 01:00","Italy (IT)","25195.00","25650.00"
"06/01/2017 01:00 - 06/01/2017 02:00","Italy (IT)","23186.00","23163.00"
"06/01/2017 02:00 - 06/01/2017 03:00","Italy (IT)","22099.00","22006.00"
"06/01/2017 03:00 - 06/01/2017 04:00","Italy (IT)","21515.00","21406.00"
"06/01/2017 04:00 - 06/01/2017 05:00","Italy (IT)","21512.00","21090.00"
"06/01/2017 05:00 - 06/01/2017 06:00","Italy (IT)","21883.00","21326.00"
"06/01/2017 06:00 - 06/01/2017 07:00","Italy (IT)","23364.00","22618.00"
"06/01/2017 07:00 - 06/01/2017 08:00","Italy (IT)","25128.00","24092.00"
"06/01/2017 08:00 - 06/01/2017 09:00","Italy (IT)","26717.00","25304.00"
"06/01/2017 09:00 - 06/01/2017 10:00","Italy (IT)","29247.00","27884.00"
"06/01/2017 10:00 - 06/01/2017 11:00","Italy (IT)","31188.00","29335.00"
"06/01/2017 11:00 - 06/01/2017 12:00","Italy (IT)","32037.00","30021.00"
"06/01/2017 12:00 - 06/01/2017 13:00","Italy (IT)","31580.00","29899.00"
"06/01/2017 13:00 - 06/01/2017 14:00","Italy (IT)","29274.00","27958.00"
"06/01/2017 14:00 - 06/01/2017 15:00","Italy (IT)","28172.00","26782.00"
"06/01/2017 15:00 - 06/01/2017 16:00","Italy (IT)","28255.00","26976.00"
"06/01/2017 16:00 - 06/01/2017 17:00","Italy (IT)","29335.00","28159.00"
"06/01/2017 17:00 - 06/01/2017 18:00","Italy (IT)","33189.00","31587.00"
"06/01/2017 18:00 - 06/01/2017 19:00","Italy (IT)","34649.00","33609.00"
"06/01/2017 19:00 - 06/01/2017 20:00","Italy (IT)","34985.00","34551.00"
"06/01/2017 20:00 - 06/01/2017 21:00","Italy (IT)","33775.00","34000.00"
"06/01/2017 21:00 - 06/01/2017 22:00","Italy (IT)","31912.00","32637.00"
"06/01/2017 22:00 - 06/01/2017 23:00","Italy (IT)","29453.00","30364.00"
"06/01/2017 23:00 - 07/01/2017 00:00","Italy (IT)","26750.00","27444.00"
"07/01/2017 00:00 - 07/01/2017 01:00","Italy (IT)","24287.00","24851.00"
"07/01/2017 01:00 - 07/01/2017 02:00","Italy (IT)","22415.00","22922.00"
"07/01/2017 02:00 - 07/01/2017 03:00","Italy (IT)","21340.00","21216.00"
"07/01/2017 03:00 - 07/01/2017 04:00","Italy (IT)","20833.00","20717.00"
"07/01/2017 04:00 - 07/01/2017 05:00","Italy (IT)","20976.00","20722.00"
"07/01/2017 05:00 - 07/01/2017 06:00","Italy (IT)","21962.00","21509.00"
"07/01/2017 06:00 - 07/01/2017 07:00","Italy (IT)","24333.00","23835.00"
"07/01/2017 07:00 - 07/01/2017 08:00","Italy (IT)","26741.00","26730.00"
"07/01/2017 08:00 - 07/01/2017 09:00","Italy (IT)","28995.00","29623.00"
"07/01/2017 09:00 - 07/01/2017 10:00","Italy (IT)","31808.00","32128.00"
"07/01/2017 10:00 - 07/01/2017 11:00","Italy (IT)","32985.00","33989.00"
"07/01/2017 11:00 - 07/01/2017 12:00","Italy (IT)","33046.00","34605.00"
"07/01/2017 12:00 - 07/01/2017 13:00","Italy (IT)","32350.00","33671.00"
"07/01/2017 13:00 - 07/01/2017 14:00","Italy (IT)","31679.00","32089.00"
"07/01/2017 14:00 - 07/01/2017 15:00","Italy (IT)","31047.00","30504.00"
"07/01/2017 15:00 - 07/01/2017 16:00","Italy (IT)","30865.00","30763.00"
"07/01/2017 16:00 - 07/01/2017 17:00","Italy (IT)","31956.00","31857.00"
