"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2021 00:00 - 01/01/2021 01:00","Italy (IT)","22520.00","22603.00"
"01/01/2021 01:00 - 01/01/2021 02:00","Italy (IT)","20989.00","22004.00"
"01/01/2021 02:00 - 01/01/2021 03:00","Italy (IT)","19330.00","20597.00"
"01/01/2021 03:00 - 01/01/2021 04:00","Italy (IT)","18172.00","19322.00"
"01/01/2021 04:00 - 01/01/2021 05:00","Italy (IT)","17795.00","18587.00"
"01/01/2021 05:00 - 01/01/2021 06:00","Italy (IT)","18117.00","18497.00"
"01/01/2021 06:00 - 01/01/2021 07:00","Italy (IT)","19062.00","19471.00"
"01/01/2021 07:00 - 01/01/2021 08:00","Italy (IT)","19520.00","19991.00"
"01/01/2021 08:00 - 01/01/2021 09:00","Italy (IT)","20162.00","20218.00"
"01/01/2021 09:00 - 01/01/2021 10:00","Italy (IT)","22075.00","21450.00"
"01/01/2021 10:00 - 01/01/2021 11:00","Italy (IT)","23517.00","22532.00"
"01/01/2021 11:00 - 01/01/2021 12:00","Italy (IT)","25649.00","23307.00"
"01/01/2021 12:00 - 01/01/2021 13:00","Italy (IT)","27261.00","24109.00"
"01/01/2021 13:00 - 01/01/2021 14:00","Italy (IT)","25503.00","23366.00"
"01/01/2021 14:00 - 01/01/2021 15:00","Italy (IT)","23950.00","22419.00"
"01/01/2021 15:00 - 01/01/2021 16:00","Italy (IT)","23822.00","22852.00"
"01/01/2021 16:00 - 01/01/2021 17:00","Italy (IT)","24988.00","23957.00"
"01/01/2021 17:00 - 01/01/2021 18:00","Italy (IT)","27359.00","27498.00"
"01/01/2021 18:00 - 01/01/2021 19:00","Italy (IT)","28016.00","28636.00"
"01/01/2021 19:00 - 01/01/2021 20:00","Italy (IT)","28627.00","29316.00"
"01/01/2021 20:00 - 01/01/2021 21:00","Italy (IT)","28091.00","28926.00"
"01/01/2021 21:00 - 01/01/2021 22:00","Italy (IT)","26838.00","27575.00"
"01/01/2021 22:00 - 01/01/2021 23:00","Italy (IT)","24967.00","25494.00"
"01/01/2021 23:00 - 02/01/2021 00:00","Italy (IT)","22508.00","23245.00"
"02/01/2021 00:00 - 02/01/2021 01:00","Italy (IT)","20723.00","20719.00"
"02/01/2021 01:00 - 02/01/2021 02:00","Italy (IT)","19309.00","18689.00"
"02/01/2021 02:00 - 02/01/2021 03:00","Italy (IT)","18498.00","17482.00"
"02/01/2021 03:00 - 02/01/2021 04:00","Italy (IT)","18024.00","17091.00"
"02/01/2021 04:00 - 02/01/2021 05:00","Italy (IT)","18164.00","17220.00"
"02/01/2021 05:00 - 02/01/2021 06:00","Italy (IT)","19015.00","18232.00"
"02/01/2021 06:00 - 02/01/2021 07:00","Italy (IT)","20885.00","20517.00"
"02/01/2021 07:00 - 02/01/2021 08:00","Italy (IT)","22802.00","22977.00"
"02/01/2021 08:00 - 02/01/2021 09:00","Italy (IT)","24593.00","25593.00"
"02/01/2021 09:00 - 02/01/2021 10:00","Italy (IT)","26761.00","28520.00"
"02/01/2021 10:00 - 02/01/2021 11:00","Italy (IT)","28467.00","29526.00"
"02/01/2021 11:00 - 02/01/2021 12:00","Italy (IT)","29471.00","30617.00"
"02/01/2021 12:00 - 02/01/2021 13:00","Italy (IT)","29367.00","31610.00"
"02/01/2021 13:00 - 02/01/2021 14:00","Italy (IT)","28264.00","30472.00"
"02/01/2021 14:00 - 02/01/2021 15:00","Italy (IT)","27488.00","29573.00"
"02/01/2021 15:00 - 02/01/2021 16:00","Italy (IT)","27683.00","29300.00"
"02/01/2021 16:00 - 02/01/2021 17:00","Italy (IT)","28920.00","30415.00"
"02/01/2021 17:00 - 02/01/2021 18:00","Italy (IT)","31500.00","32366.00"
"02/01/2021 18:00 - 02/01/2021 19:00","Italy (IT)","32277.00","32968.00"
"02/01/2021 19:00 - 02/01/2021 20:00","Italy (IT)","32668.00","32809.00"
"02/01/2021 20:00 - 02/01/2021 21:00","Italy (IT)","30969.00","31014.00"
"02/01/2021 21:00 - 02/01/2021 22:00","Italy (IT)","28824.00","28629.00"
"02/01/2021 22:00 - 02/01/2021 23:00","Italy (IT)","26429.00","26340.00"
"02/01/2021 23:00 - 03/01/2021 00:00","Italy (IT)","23773.00","23739.00"
"03/01/2021 00:00 - 03/01/2021 01:00","Italy (IT)","21141.00","21586.00"
"03/01/2021 01:00 - 03/01/2021 02:00","Italy (IT)","19585.00","20145.00"
"03/01/2021 02:00 - 03/01/2021 03:00","Italy (IT)","18751.00","19096.00"
"03/01/2021 03:00 - 03/01/2021 04:00","Italy (IT)","18335.00","18392.00"
"03/01/2021 04:00 - 03/01/2021 05:00","Italy (IT)","18393.00","18259.00"
"03/01/2021 05:00 - 03/01/2021 06:00","Italy (IT)","18951.00","18656.00"
"03/01/2021 06:00 - 03/01/2021 07:00","Italy (IT)","20172.00","19651.00"
"03/01/2021 07:00 - 03/01/2021 08:00","Italy (IT)","21206.00","20868.00"
"03/01/2021 08:00 - 03/01/2021 09:00","Italy (IT)","22293.00","21835.00"
"03/01/2021 09:00 - 03/01/2021 10:00","Italy (IT)","24098.00","23900.00"
"03/01/2021 10:00 - 03/01/2021 11:00","Italy (IT)","25462.00","25937.00"
"03/01/2021 11:00 - 03/01/2021 12:00","Italy (IT)","27100.00","26805.00"
"03/01/2021 12:00 - 03/01/2021 13:00","Italy (IT)","27892.00","26822.00"
"03/01/2021 13:00 - 03/01/2021 14:00","Italy (IT)","26155.00","25811.00"
"03/01/2021 14:00 - 03/01/2021 15:00","Italy (IT)","25634.00","25315.00"
"03/01/2021 15:00 - 03/01/2021 16:00","Italy (IT)","25891.00","25186.00"
"03/01/2021 16:00 - 03/01/2021 17:00","Italy (IT)","26988.00","25681.00"
"03/01/2021 17:00 - 03/01/2021 18:00","Italy (IT)","29909.00","29402.00"
"03/01/2021 18:00 - 03/01/2021 19:00","Italy (IT)","30523.00","30851.00"
"03/01/2021 19:00 - 03/01/2021 20:00","Italy (IT)","31072.00","31212.00"
"03/01/2021 20:00 - 03/01/2021 21:00","Italy (IT)","30201.00","30651.00"
"03/01/2021 21:00 - 03/01/2021 22:00","Italy (IT)","28459.00","29023.00"
"03/01/2021 22:00 - 03/01/2021 23:00","Italy (IT)","26096.00","26629.00"
"03/01/2021 23:00 - 04/01/2021 00:00","Italy (IT)","23428.00","24007.00"
"04/01/2021 00:00 - 04/01/2021 01:00","Italy (IT)","21143.00","20848.00"
"04/01/2021 01:00 - 04/01/2021 02:00","Italy (IT)","19721.00","19499.00"
"04/01/2021 02:00 - 04/01/2021 03:00","Italy (IT)","19083.00","18998.00"
"04/01/2021 03:00 - 04/01/2021 04:00","Italy (IT)","18931.00","18877.00"
"04/01/2021 04:00 - 04/01/2021 05:00","Italy (IT)","19420.00","19229.00"
"04/01/2021 05:00 - 04/01/2021 06:00","Italy (IT)","20943.00","20579.00"
"04/01/2021 06:00 - 04/01/2021 07:00","Italy (IT)","24588.00","23997.00"
"04/01/2021 07:00 - 04/01/2021 08:00","Italy (IT)","28948.00","28126.00"
"04/01/2021 08:00 - 04/01/2021 09:00","Italy (IT)","32971.00","32007.00"
"04/01/2021 09:00 - 04/01/2021 10:00","Italy (IT)","35622.00","34683.00"
"04/01/2021 10:00 - 04/01/2021 11:00","Italy (IT)","36391.00","35668.00"
"04/01/2021 11:00 - 04/01/2021 12:00","Italy (IT)","35686.00","35777.00"
"04/01/2021 12:00 - 04/01/2021 13:00","Italy (IT)","35023.00","35294.00"
"04/01/2021 13:00 - 04/01/2021 14:00","Italy (IT)","34646.00","34303.00"
"04/01/2021 14:00 - 04/01/2021 15:00","Italy (IT)","35112.00","34540.00"
"04/01/2021 15:00 - 04/01/2021 16:00","Italy (IT)","35743.00","34685.00"
"04/01/2021 16:00 - 04/01/2021 17:00","Italy (IT)","36462.00","35418.00"
"04/01/2021 17:00 - 04/01/2021 18:00","Italy (IT)","38589.00","37398.00"
"04/01/2021 18:00 - 04/01/2021 19:00","Italy (IT)","38432.00","36992.00"
"04/01/2021 19:00 - 04/01/2021 20:00","Italy (IT)","38088.00","36427.00"
"04/01/2021 20:00 - 04/01/2021 21:00","Italy (IT)","35523.00","33816.00"
"04/01/2021 21:00 - 04/01/2021 22:00","Italy (IT)","32659.00","31271.00"
"04/01/2021 22:00 - 04/01/2021 23:00","Italy (IT)","29408.00","28274.00"
"04/01/2021 23:00 - 05/01/2021 00:00","Italy (IT)","26667.00","25472.00"
"05/01/2021 00:00 - 05/01/2021 01:00","Italy (IT)","24336.00","23862.00"
"05/01/2021 01:00 - 05/01/2021 02:00","Italy (IT)","22737.00","22179.00"
"05/01/2021 02:00 - 05/01/2021 03:00","Italy (IT)","21726.00","21231.00"
"05/01/2021 03:00 - 05/01/2021 04:00","Italy (IT)","21321.00","21062.00"
"05/01/2021 04:00 - 05/01/2021 05:00","Italy (IT)","21559.00","21257.00"
"05/01/2021 05:00 - 05/01/2021 06:00","Italy (IT)","22835.00","22469.00"
"05/01/2021 06:00 - 05/01/2021 07:00","Italy (IT)","26361.00","25595.00"
"05/01/2021 07:00 - 05/01/2021 08:00","Italy (IT)","30427.00","29592.00"
"05/01/2021 08:00 - 05/01/2021 09:00","Italy (IT)","34377.00","33666.00"
"05/01/2021 09:00 - 05/01/2021 10:00","Italy (IT)","36528.00","36652.00"
"05/01/2021 10:00 - 05/01/2021 11:00","Italy (IT)","37364.00","37429.00"
"05/01/2021 11:00 - 05/01/2021 12:00","Italy (IT)","37688.00","36675.00"
"05/01/2021 12:00 - 05/01/2021 13:00","Italy (IT)","36781.00","36142.00"
"05/01/2021 13:00 - 05/01/2021 14:00","Italy (IT)","36392.00","35312.00"
"05/01/2021 14:00 - 05/01/2021 15:00","Italy (IT)","36751.00","35591.00"
"05/01/2021 15:00 - 05/01/2021 16:00","Italy (IT)","36606.00","36042.00"
"05/01/2021 16:00 - 05/01/2021 17:00","Italy (IT)","37402.00","36078.00"
"05/01/2021 17:00 - 05/01/2021 18:00","Italy (IT)","38935.00","38218.00"
"05/01/2021 18:00 - 05/01/2021 19:00","Italy (IT)","38574.00","38291.00"
"05/01/2021 19:00 - 05/01/2021 20:00","Italy (IT)","38111.00","37480.00"
"05/01/2021 20:00 - 05/01/2021 21:00","Italy (IT)","35921.00","35590.00"
"05/01/2021 21:00 - 05/01/2021 22:00","Italy (IT)","33109.00","32906.00"
"05/01/2021 22:00 - 05/01/2021 23:00","Italy (IT)","29812.00","29905.00"
"05/01/2021 23:00 - 06/01/2021 00:00","Italy (IT)","26782.00","26722.00"
"06/01/2021 00:00 - 06/01/2021 01:00","Italy (IT)","24100.00","24122.00"
"06/01/2021 01:00 - 06/01/2021 02:00","Italy (IT)","22167.00","22468.00"
"06/01/2021 02:00 - 06/01/2021 03:00","Italy (IT)","21221.00","21401.00"
"06/01/2021 03:00 - 06/01/2021 04:00","Italy (IT)","20856.00","20708.00"
"06/01/2021 04:00 - 06/01/2021 05:00","Italy (IT)","20795.00","20788.00"
"06/01/2021 05:00 - 06/01/2021 06:00","Italy (IT)","21320.00","21358.00"
"06/01/2021 06:00 - 06/01/2021 07:00","Italy (IT)","22702.00","22927.00"
"06/01/2021 07:00 - 06/01/2021 08:00","Italy (IT)","24123.00","24464.00"
"06/01/2021 08:00 - 06/01/2021 09:00","Italy (IT)","25458.00","25754.00"
"06/01/2021 09:00 - 06/01/2021 10:00","Italy (IT)","27407.00","27665.00"
"06/01/2021 10:00 - 06/01/2021 11:00","Italy (IT)","28863.00","29223.00"
"06/01/2021 11:00 - 06/01/2021 12:00","Italy (IT)","30036.00","30130.00"
"06/01/2021 12:00 - 06/01/2021 13:00","Italy (IT)","30458.00","30428.00"
"06/01/2021 13:00 - 06/01/2021 14:00","Italy (IT)","28518.00","29139.00"
"06/01/2021 14:00 - 06/01/2021 15:00","Italy (IT)","27722.00","27617.00"
