"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2015 23:00 - 04/01/2015 00:00","Italy (IT)","25217.00","24970.00"
"04/01/2015 00:00 - 04/01/2015 01:00","Italy (IT)","22558.00","22135.00"
"04/01/2015 01:00 - 04/01/2015 02:00","Italy (IT)","20602.00","20366.00"
"04/01/2015 02:00 - 04/01/2015 03:00","Italy (IT)","19449.00","19316.00"
"04/01/2015 03:00 - 04/01/2015 04:00","Italy (IT)","18871.00","18689.00"
"04/01/2015 04:00 - 04/01/2015 05:00","Italy (IT)","18726.00","18664.00"
"04/01/2015 05:00 - 04/01/2015 06:00","Italy (IT)","19122.00","19104.00"
"04/01/2015 06:00 - 04/01/2015 07:00","Italy (IT)","20289.00","20306.00"
"04/01/2015 07:00 - 04/01/2015 08:00","Italy (IT)","21600.00","21673.00"
"04/01/2015 08:00 - 04/01/2015 09:00","Italy (IT)","23049.00","23135.00"
"04/01/2015 09:00 - 04/01/2015 10:00","Italy (IT)","25376.00","25689.00"
"04/01/2015 10:00 - 04/01/2015 11:00","Italy (IT)","26859.00","27737.00"
"04/01/2015 11:00 - 04/01/2015 12:00","Italy (IT)","27740.00","28670.00"
"04/01/2015 12:00 - 04/01/2015 13:00","Italy (IT)","27326.00","27999.00"
"04/01/2015 13:00 - 04/01/2015 14:00","Italy (IT)","26018.00","26863.00"
"04/01/2015 14:00 - 04/01/2015 15:00","Italy (IT)","25049.00","25922.00"
"04/01/2015 15:00 - 04/01/2015 16:00","Italy (IT)","24868.00","25944.00"
"04/01/2015 16:00 - 04/01/2015 17:00","Italy (IT)","25826.00","26778.00"
"04/01/2015 17:00 - 04/01/2015 18:00","Italy (IT)","30053.00","31036.00"
"04/01/2015 18:00 - 04/01/2015 19:00","Italy (IT)","31608.00","32433.00"
"04/01/2015 19:00 - 04/01/2015 20:00","Italy (IT)","32356.00","33007.00"
"04/01/2015 20:00 - 04/01/2015 21:00","Italy (IT)","31312.00","32186.00"
"04/01/2015 21:00 - 04/01/2015 22:00","Italy (IT)","29367.00","30478.00"
"04/01/2015 22:00 - 04/01/2015 23:00","Italy (IT)","27050.00","27995.00"
"04/01/2015 23:00 - 05/01/2015 00:00","Italy (IT)","24216.00","25271.00"
"05/01/2015 00:00 - 05/01/2015 01:00","Italy (IT)","21778.00","22858.00"
"05/01/2015 01:00 - 05/01/2015 02:00","Italy (IT)","19993.00","20987.00"
"05/01/2015 02:00 - 05/01/2015 03:00","Italy (IT)","19020.00","20029.00"
"05/01/2015 03:00 - 05/01/2015 04:00","Italy (IT)","18676.00","19618.00"
"05/01/2015 04:00 - 05/01/2015 05:00","Italy (IT)","18880.00","19718.00"
"05/01/2015 05:00 - 05/01/2015 06:00","Italy (IT)","20107.00","21051.00"
"05/01/2015 06:00 - 05/01/2015 07:00","Italy (IT)","23220.00","24338.00"
"05/01/2015 07:00 - 05/01/2015 08:00","Italy (IT)","26785.00","27818.00"
"05/01/2015 08:00 - 05/01/2015 09:00","Italy (IT)","30021.00","31283.00"
"05/01/2015 09:00 - 05/01/2015 10:00","Italy (IT)","32544.00","34017.00"
"05/01/2015 10:00 - 05/01/2015 11:00","Italy (IT)","33622.00","34533.00"
"05/01/2015 11:00 - 05/01/2015 12:00","Italy (IT)","33846.00","34407.00"
"05/01/2015 12:00 - 05/01/2015 13:00","Italy (IT)","32785.00","33305.00"
"05/01/2015 13:00 - 05/01/2015 14:00","Italy (IT)","31687.00","32110.00"
"05/01/2015 14:00 - 05/01/2015 15:00","Italy (IT)","30923.00","32167.00"
"05/01/2015 15:00 - 05/01/2015 16:00","Italy (IT)","31133.00","32287.00"
"05/01/2015 16:00 - 05/01/2015 17:00","Italy (IT)","32364.00","33448.00"
"05/01/2015 17:00 - 05/01/2015 18:00","Italy (IT)","36615.00","37813.00"
"05/01/2015 18:00 - 05/01/2015 19:00","Italy (IT)","37545.00","38411.00"
"05/01/2015 19:00 - 05/01/2015 20:00","Italy (IT)","37107.00","38056.00"
