"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 00:00 - 01/01/2024 01:00","Italy (IT)","20694.00","20725.00"
"01/01/2024 01:00 - 01/01/2024 02:00","Italy (IT)","19910.00","20053.00"
"01/01/2024 02:00 - 01/01/2024 03:00","Italy (IT)","18833.00","18851.00"
"01/01/2024 03:00 - 01/01/2024 04:00","Italy (IT)","17878.00","17792.00"
"01/01/2024 04:00 - 01/01/2024 05:00","Italy (IT)","17312.00","17677.00"
"01/01/2024 05:00 - 01/01/2024 06:00","Italy (IT)","17529.00","17940.00"
"01/01/2024 06:00 - 01/01/2024 07:00","Italy (IT)","18408.00","18738.00"
"01/01/2024 07:00 - 01/01/2024 08:00","Italy (IT)","19022.00","19392.00"
"01/01/2024 08:00 - 01/01/2024 09:00","Italy (IT)","19226.00","20118.00"
"01/01/2024 09:00 - 01/01/2024 10:00","Italy (IT)","20353.00","21500.00"
"01/01/2024 10:00 - 01/01/2024 11:00","Italy (IT)","21360.00","22513.00"
"01/01/2024 11:00 - 01/01/2024 12:00","Italy (IT)","21868.00","23414.00"
"01/01/2024 12:00 - 01/01/2024 13:00","Italy (IT)","22387.00","23907.00"
"01/01/2024 13:00 - 01/01/2024 14:00","Italy (IT)","21836.00","23110.00"
"01/01/2024 14:00 - 01/01/2024 15:00","Italy (IT)","21533.00","22605.00"
"01/01/2024 15:00 - 01/01/2024 16:00","Italy (IT)","21872.00","22648.00"
"01/01/2024 16:00 - 01/01/2024 17:00","Italy (IT)","23076.00","23513.00"
"01/01/2024 17:00 - 01/01/2024 18:00","Italy (IT)","25730.00","25598.00"
"01/01/2024 18:00 - 01/01/2024 19:00","Italy (IT)","26627.00","26576.00"
"01/01/2024 19:00 - 01/01/2024 20:00","Italy (IT)","27210.00","27036.00"
"01/01/2024 20:00 - 01/01/2024 21:00","Italy (IT)","26706.00","26645.00"
"01/01/2024 21:00 - 01/01/2024 22:00","Italy (IT)","25405.00","25366.00"
"01/01/2024 22:00 - 01/01/2024 23:00","Italy (IT)","23519.00","23554.00"
"01/01/2024 23:00 - 02/01/2024 00:00","Italy (IT)","21405.00","21603.00"
"02/01/2024 00:00 - 02/01/2024 01:00","Italy (IT)","19558.00","19744.00"
"02/01/2024 01:00 - 02/01/2024 02:00","Italy (IT)","18195.00","18590.00"
"02/01/2024 02:00 - 02/01/2024 03:00","Italy (IT)","17554.00","18028.00"
"02/01/2024 03:00 - 02/01/2024 04:00","Italy (IT)","17358.00","17680.00"
"02/01/2024 04:00 - 02/01/2024 05:00","Italy (IT)","17646.00","17429.00"
"02/01/2024 05:00 - 02/01/2024 06:00","Italy (IT)","19183.00","19019.00"
"02/01/2024 06:00 - 02/01/2024 07:00","Italy (IT)","22838.00","22703.00"
"02/01/2024 07:00 - 02/01/2024 08:00","Italy (IT)","26577.00","26658.00"
"02/01/2024 08:00 - 02/01/2024 09:00","Italy (IT)","29944.00","30240.00"
"02/01/2024 09:00 - 02/01/2024 10:00","Italy (IT)","31906.00","32516.00"
"02/01/2024 10:00 - 02/01/2024 11:00","Italy (IT)","31840.00","31831.00"
"02/01/2024 11:00 - 02/01/2024 12:00","Italy (IT)","31011.00","31613.00"
"02/01/2024 12:00 - 02/01/2024 13:00","Italy (IT)","30416.00","30643.00"
"02/01/2024 13:00 - 02/01/2024 14:00","Italy (IT)","30177.00","30034.00"
"02/01/2024 14:00 - 02/01/2024 15:00","Italy (IT)","31204.00","30108.00"
"02/01/2024 15:00 - 02/01/2024 16:00","Italy (IT)","31414.00","30595.00"
"02/01/2024 16:00 - 02/01/2024 17:00","Italy (IT)","32253.00","32023.00"
"02/01/2024 17:00 - 02/01/2024 18:00","Italy (IT)","34122.00","34577.00"
"02/01/2024 18:00 - 02/01/2024 19:00","Italy (IT)","34039.00","34515.00"
"02/01/2024 19:00 - 02/01/2024 20:00","Italy (IT)","33887.00","34001.00"
"02/01/2024 20:00 - 02/01/2024 21:00","Italy (IT)","32093.00","32161.00"
"02/01/2024 21:00 - 02/01/2024 22:00","Italy (IT)","29473.00","29491.00"
"02/01/2024 22:00 - 02/01/2024 23:00","Italy (IT)","26608.00","26117.00"
"02/01/2024 23:00 - 03/01/2024 00:00","Italy (IT)","23680.00","23506.00"
"03/01/2024 00:00 - 03/01/2024 01:00","Italy (IT)","21273.00","22033.00"
"03/01/2024 01:00 - 03/01/2024 02:00","Italy (IT)","19764.00","20578.00"
